year,state,disability,total_6to21,aian5,api5,black5,hisp5,white5,total_ethnicity5,hisp7,aian7,asian7,black7,nhpi7,white7,tworace7,total_ethnicity7,Ethnicity,el_yes,el_no
2015,Florida,Emotional disturbance,16333,NA,NA,NA,NA,NA,NA,3065,44,35,6522,14,5991,662,NA,NA,504,15829
2015,Florida,Hearing impairment,3862,NA,NA,NA,NA,NA,NA,1250,12,109,853,6,1530,102,NA,NA,361,3501
2015,Florida,Intellectual disability,25033,NA,NA,NA,NA,NA,NA,6276,97,399,9312,24,8275,650,NA,NA,1208,23825
2015,Florida,Multiple disabilities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,Florida,Orthopedic impairment,2620,NA,NA,NA,NA,NA,NA,766,5,61,531,3,1168,86,NA,NA,170,2450
2015,Florida,Other health impairment,34885,NA,NA,NA,NA,NA,NA,9861,110,272,7408,22,16069,1143,NA,NA,2611,32274
2015,Florida,Specific learning disability,138672,NA,NA,NA,NA,NA,NA,45499,551,1065,36803,137,50601,4016,NA,NA,12880,125792
2015,Florida,Speech or language impairment,79101,NA,NA,NA,NA,NA,NA,21067,250,1376,18593,91,34911,2813,NA,NA,8971,70130
2015,Florida,Traumatic brain injury,542,NA,NA,NA,NA,NA,NA,114,6,9,160,0,233,20,NA,NA,23,519
2015,Florida,Visual impairment,1281,NA,NA,NA,NA,NA,NA,337,6,28,288,3,575,44,NA,NA,81,1200
2016,Florida,All Disabilities,342458,NA,NA,NA,NA,NA,NA,103051,1133,4392,87751,373,134490,11268,NA,NA,29403,313055
2016,Florida,Autism,33501,NA,NA,NA,NA,NA,NA,10983,88,917,5836,43,14411,1223,NA,NA,2016,31485
2016,Florida,Deaf-blindness,79,NA,NA,NA,NA,NA,NA,26,0,3,19,0,28,3,NA,NA,4,75
2016,Florida,Developmental delay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,Florida,Emotional disturbance,15613,NA,NA,NA,NA,NA,NA,2955,46,28,6212,13,5703,656,NA,NA,450,15163
2016,Florida,Hearing impairment,3921,NA,NA,NA,NA,NA,NA,1301,10,112,835,5,1545,113,NA,NA,362,3559
2016,Florida,Intellectual disability,24846,NA,NA,NA,NA,NA,NA,6367,85,434,9103,25,8157,675,NA,NA,1042,23804
2016,Florida,Multiple disabilities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,Florida,Orthopedic impairment,2509,NA,NA,NA,NA,NA,NA,750,8,74,503,2,1092,80,NA,NA,166,2343
2016,Florida,Other health impairment,38126,NA,NA,NA,NA,NA,NA,10995,104,291,8202,27,17213,1294,NA,NA,2765,35361
2016,Florida,Specific learning disability,142522,NA,NA,NA,NA,NA,NA,47463,537,1102,38105,154,50924,4237,NA,NA,13243,129279
2016,Florida,Speech or language impairment,79582,NA,NA,NA,NA,NA,NA,21760,245,1390,18512,101,34645,2929,NA,NA,9245,70337
2016,Florida,Traumatic brain injury,501,NA,NA,NA,NA,NA,NA,106,4,11,145,0,213,22,NA,NA,22,479
2016,Florida,Visual impairment,1258,NA,NA,NA,NA,NA,NA,345,6,30,279,3,559,36,NA,NA,88,1170
2017,Florida,All Disabilities,349764,NA,NA,NA,NA,NA,NA,107450,1102,4513,89289,392,135095,11923,NA,NA,29423,320341
2017,Florida,Autism,36474,NA,NA,NA,NA,NA,NA,12232,94,1002,6498,39,15253,1356,NA,NA,2148,34326
2017,Florida,Deaf-blindness,84,NA,NA,NA,NA,NA,NA,30,0,5,20,1,26,2,NA,NA,3,81
2017,Florida,Developmental delay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,Florida,Emotional disturbance,14933,NA,NA,NA,NA,NA,NA,2939,49,32,5825,9,5421,658,NA,NA,405,14528
2017,Florida,Hearing impairment,3898,NA,NA,NA,NA,NA,NA,1343,9,116,824,3,1493,110,NA,NA,358,3540
2017,Florida,Intellectual disability,24710,NA,NA,NA,NA,NA,NA,6516,86,433,8982,26,7958,709,NA,NA,980,23730
2017,Florida,Multiple disabilities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,Florida,Orthopedic impairment,2469,NA,NA,NA,NA,NA,NA,776,6,74,498,4,1030,81,NA,NA,168,2301
2017,Florida,Other health impairment,39833,NA,NA,NA,NA,NA,NA,11661,111,292,8703,35,17623,1408,NA,NA,2883,36950
2017,Florida,Specific learning disability,145893,NA,NA,NA,NA,NA,NA,49171,493,1117,39227,156,51249,4480,NA,NA,13334,132559
2017,Florida,Speech or language impairment,79723,NA,NA,NA,NA,NA,NA,22324,243,1399,18301,116,34278,3062,NA,NA,9036,70687
2017,Florida,Traumatic brain injury,504,NA,NA,NA,NA,NA,NA,107,4,10,143,0,221,19,NA,NA,17,487
2017,Florida,Visual impairment,1243,NA,NA,NA,NA,NA,NA,351,7,33,268,3,543,38,NA,NA,91,1152
2018,Florida,All Disabilities,363720,NA,NA,NA,NA,NA,NA,114815,1148,4759,92295,419,137404,12880,NA,NA,31061,332659
2018,Florida,Autism,39856,NA,NA,NA,NA,NA,NA,13785,92,1124,7204,52,16079,1520,NA,NA,2354,37502
2018,Florida,Deaf-blindness,83,NA,NA,NA,NA,NA,NA,28,0,5,17,0,31,2,NA,NA,5,78
2018,Florida,Developmental delay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,Florida,Emotional disturbance,14604,NA,NA,NA,NA,NA,NA,2927,50,41,5626,11,5262,687,NA,NA,406,14198
2018,Florida,Hearing impairment,3893,NA,NA,NA,NA,NA,NA,1381,11,128,818,3,1436,116,NA,NA,364,3529
2018,Florida,Intellectual disability,24879,NA,NA,NA,NA,NA,NA,6734,88,433,8929,27,7914,754,NA,NA,1017,23862
2018,Florida,Multiple disabilities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,Florida,Orthopedic impairment,2322,NA,NA,NA,NA,NA,NA,751,4,73,449,4,959,82,NA,NA,161,2161
2018,Florida,Other health impairment,44157,NA,NA,NA,NA,NA,NA,13482,120,323,9615,35,18986,1596,NA,NA,3421,40736
2018,Florida,Specific learning disability,151821,NA,NA,NA,NA,NA,NA,52346,512,1180,40873,157,51937,4816,NA,NA,14165,137656
2018,Florida,Speech or language impairment,80357,NA,NA,NA,NA,NA,NA,22894,261,1411,18355,128,34064,3244,NA,NA,9049,71308
2018,Florida,Traumatic brain injury,493,NA,NA,NA,NA,NA,NA,117,4,9,138,0,203,22,NA,NA,19,474
2018,Florida,Visual impairment,1255,NA,NA,NA,NA,NA,NA,370,6,32,271,2,533,41,NA,NA,100,1155
2005,Georgia,Mental retardation,25726,22,239,15963,1241,8261,25726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,Georgia,Hearing impairments,1655,0,50,613,195,797,1655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,Georgia,Speech or language impairments,36543,52,774,11904,2714,21099,36543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,Georgia,Visual impairments,616,NA,NA,225,NA,350,616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,Georgia,Emotional disturbance,23257,40,97,11541,534,11045,23257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,Georgia,Orthopedic impairments,1008,NA,NA,315,71,599,1008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,Georgia,Other health impairments,24698,36,157,7865,756,15884,24698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,Georgia,Specific learning disabilities,54322,74,497,20544,4745,28462,54322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,Georgia,Deaf-blindness,21,0,NA,5,NA,9,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,Georgia,Multiple disabilities,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,Georgia,Autism,5655,6,155,1968,233,3293,5655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,Georgia,Traumatic brain injury,462,0,5,207,28,222,462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,Georgia,Developmental delay,2905,NA,NA,1253,186,1421,2905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,Georgia,All disabilities,176868,236,2054,72403,10733,91442,176868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,Georgia,Mental retardation,24110,20,246,14650,1309,7885,24110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,Georgia,Hearing impairments,1631,NA,NA,603,207,771,1631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,Georgia,Speech or language impairments,35348,51,735,11488,2863,20211,35348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,Georgia,Visual impairments,647,NA,NA,223,33,370,647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,Georgia,Emotional disturbance,22287,40,93,10920,533,10701,22287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,Georgia,Orthopedic impairments,1016,NA,NA,308,63,620,1016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,Georgia,Other health impairments,26030,46,172,8467,908,16437,26030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,Georgia,Specific learning disabilities,54387,78,535,20916,5323,27535,54387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,Georgia,Deaf-blindness,22,0,NA,5,NA,10,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,Georgia,Multiple disabilities,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,Georgia,Autism,6815,5,209,2339,303,3959,6815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,Georgia,Traumatic brain injury,471,NA,NA,195,NA,241,471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,Georgia,Developmental delay,3636,NA,NA,1599,272,1703,3636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,Georgia,All disabilities,176400,250,2146,71713,11848,90443,176400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,Georgia,Mental retardation,22058,19,259,13103,1269,7053,21703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,Georgia,Hearing impairments,1699,NA,NA,630,214,766,1610,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,Georgia,Speech or language impairments,32456,48,711,10670,2888,17099,31416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,Georgia,Visual impairments,690,NA,NA,242,37,366,645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,Georgia,Emotional disturbance,20682,35,99,10067,541,9306,20048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,Georgia,Orthopedic impairments,1008,NA,NA,313,72,576,961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,Georgia,Other health impairments,26309,56,191,8606,975,15668,25496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,Georgia,Specific learning disabilities,52842,82,560,20296,5656,24968,51562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,Georgia,Deaf-blindness,23,0,NA,NA,NA,13,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,Georgia,Multiple disabilities,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,Georgia,Autism,7839,8,263,2664,386,4248,7569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,Georgia,Traumatic brain injury,466,NA,NA,NA,NA,238,238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,Georgia,Developmental delay,4898,9,76,2192,378,2090,4745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,Georgia,All disabilities,170970,262,2254,68966,12451,82391,166324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,Georgia,Mental retardation,20262,24,253,11742,1268,6608,19895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,Georgia,Hearing impairments,1695,NA,NA,618,224,751,1655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,Georgia,Speech or language impairments,27844,36,630,9440,2551,14213,26870,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,Georgia,Visual impairments,713,0,18,251,48,368,685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,Georgia,Emotional disturbance,18887,31,93,9234,521,8398,18277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,Georgia,Orthopedic impairments,969,NA,NA,300,75,541,935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,Georgia,Other health impairments,25556,49,196,8552,1002,14932,24731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,Georgia,Specific learning disabilities,51250,92,555,19889,5824,23517,49877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,Georgia,Deaf-blindness,20,0,NA,NA,NA,12,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,Georgia,Multiple disabilities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,Georgia,Autism,8747,11,297,2944,451,4743,8446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,Georgia,Traumatic brain injury,458,0,6,NA,NA,223,442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,Georgia,Developmental delay,7121,8,105,3063,632,3053,6861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,Georgia,All disabilities,163522,256,2230,66216,12632,77359,158693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,Georgia,Mental retardation,18880,NA,NA,NA,NA,NA,NA,1313,52,234,10787,12,6195,287,18880,7,NA,NA
2009,Georgia,Hearing impairments,1682,NA,NA,NA,NA,NA,NA,200,NA,57,621,NA,756,43,1682,7,NA,NA
2009,Georgia,Speech or language impairments,25345,NA,NA,NA,NA,NA,NA,2647,64,569,8510,14,12770,771,25345,7,NA,NA
2009,Georgia,Visual impairments,705,NA,NA,NA,NA,NA,NA,59,0,NA,248,NA,356,24,705,7,NA,NA
2009,Georgia,Emotional disturbance,17172,NA,NA,NA,NA,NA,NA,675,47,84,8269,9,7576,512,17172,7,NA,NA
2009,Georgia,Orthopedic impairments,929,NA,NA,NA,NA,NA,NA,92,NA,20,286,0,509,NA,929,7,NA,NA
2009,Georgia,Other health impairments,25246,NA,NA,NA,NA,NA,NA,1234,81,197,8528,15,14470,721,25246,7,NA,NA
2009,Georgia,Specific learning disabilities,51937,NA,NA,NA,NA,NA,NA,6690,182,574,20355,35,22937,1164,51937,7,NA,NA
2009,Georgia,Deaf-blindness,25,NA,NA,NA,NA,NA,NA,NA,0,NA,5,0,16,0,25,7,NA,NA
2009,Georgia,Multiple disabilities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA
2009,Georgia,Autism,9563,NA,NA,NA,NA,NA,NA,609,29,323,3227,6,5082,287,9563,7,NA,NA
2009,Georgia,Traumatic brain injury,440,NA,NA,NA,NA,NA,NA,NA,0,NA,168,0,224,NA,440,7,NA,NA
2009,Georgia,Developmental delay,8655,NA,NA,NA,NA,NA,NA,1000,NA,171,3526,NA,3690,244,8655,7,NA,NA
2009,Georgia,All disabilities,160579,NA,NA,NA,NA,NA,NA,14555,481,2249,64530,99,74581,4084,160579,7,NA,NA
2010,Georgia,Mental retardation,17927,NA,NA,NA,NA,NA,NA,1384,34,235,10039,16,5901,318,17927,NA,NA,NA
2010,Georgia,Hearing impairments,1672,NA,NA,NA,NA,NA,NA,254,NA,59,620,NA,687,48,1672,NA,NA,NA
2010,Georgia,Speech or language impairments,24751,NA,NA,NA,NA,NA,NA,2627,54,554,7976,14,12693,833,24751,NA,NA,NA
2010,Georgia,Visual impairments,700,NA,NA,NA,NA,NA,NA,58,NA,18,264,NA,334,24,700,NA,NA,NA
2010,Georgia,Emotional disturbance,15931,NA,NA,NA,NA,NA,NA,696,47,73,7595,13,6993,514,15931,NA,NA,NA
2010,Georgia,Orthopedic impairments,886,NA,NA,NA,NA,NA,NA,95,NA,22,266,NA,482,16,886,NA,NA,NA
2010,Georgia,Other health impairments,25435,NA,NA,NA,NA,NA,NA,1356,70,190,8683,11,14307,818,25435,NA,NA,NA
2010,Georgia,Specific learning disabilities,53276,NA,NA,NA,NA,NA,NA,7283,154,596,21105,30,22882,1226,53276,NA,NA,NA
2010,Georgia,Deaf-blindness,26,NA,NA,NA,NA,NA,NA,NA,0,NA,8,0,15,0,NA,NA,NA,NA
2010,Georgia,Multiple disabilities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,Georgia,Autism,10548,NA,NA,NA,NA,NA,NA,734,20,378,3548,5,5531,332,10548,NA,NA,NA
2010,Georgia,Traumatic brain injury,459,NA,NA,NA,NA,NA,NA,NA,0,NA,179,0,215,15,NA,NA,NA,NA
2010,Georgia,Developmental delay,10022,NA,NA,NA,NA,NA,NA,1289,25,183,3949,7,4241,328,10022,NA,NA,NA
2010,Georgia,All disabilities,161633,NA,NA,NA,NA,NA,NA,15821,412,2316,64232,99,74281,4472,161633,NA,NA,NA
2011,Georgia,Intellectual disabilities,17257,NA,NA,NA,NA,NA,NA,1401,27,256,9544,19,5690,320,17257,NA,NA,NA
2011,Georgia,Hearing impairments,1697,NA,NA,NA,NA,NA,NA,270,NA,62,637,0,681,NA,1697,NA,NA,NA
2011,Georgia,Speech or language impairments,23678,NA,NA,NA,NA,NA,NA,2553,44,581,7466,10,12227,797,23678,NA,NA,NA
2011,Georgia,Visual impairments,707,NA,NA,NA,NA,NA,NA,62,NA,18,261,NA,340,24,707,NA,NA,NA
2011,Georgia,Emotional disturbance,14538,NA,NA,NA,NA,NA,NA,666,51,76,6912,12,6334,487,14538,NA,NA,NA
2011,Georgia,Orthopedic impairments,849,NA,NA,NA,NA,NA,NA,89,NA,25,252,NA,463,NA,849,NA,NA,NA
2011,Georgia,Other health impairments,25854,NA,NA,NA,NA,NA,NA,1420,61,194,8872,16,14449,842,25854,NA,NA,NA
2011,Georgia,Specific learning disabilities,55481,NA,NA,NA,NA,NA,NA,7890,152,621,22141,32,23245,1400,55481,NA,NA,NA
2011,Georgia,Deaf-blindness,21,NA,NA,NA,NA,NA,NA,NA,0,NA,8,0,10,0,NA,NA,NA,NA
2011,Georgia,Multiple disabilities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,Georgia,Autism,11638,NA,NA,NA,NA,NA,NA,869,19,440,3979,10,5936,385,11638,NA,NA,NA
2011,Georgia,Traumatic brain injury,433,NA,NA,NA,NA,NA,NA,NA,0,NA,179,0,192,15,NA,NA,NA,NA
2011,Georgia,Developmental delay,10731,NA,NA,NA,NA,NA,NA,1416,23,191,4264,5,4503,329,10731,NA,NA,NA
2011,Georgia,All disabilities,162884,NA,NA,NA,NA,NA,NA,16676,385,2474,64515,106,74070,4658,162884,NA,NA,NA
2012,Georgia,All Disabilities,167642,NA,NA,NA,NA,NA,NA,18333,358,2612,66310,104,74984,4941,NA,NA,8942,158700
2012,Georgia,Autism,12765,NA,NA,NA,NA,NA,NA,1043,24,464,4378,6,6430,420,NA,NA,NA,NA
2012,Georgia,Deaf-blindness,25,NA,NA,NA,NA,NA,NA,2,0,1,8,0,14,0,NA,NA,NA,NA
2012,Georgia,Developmental delay (valid only for children ages 3-9 when defined by state),11741,NA,NA,NA,NA,NA,NA,1593,25,203,4773,8,4789,350,NA,NA,NA,NA
2012,Georgia,Emotional disturbance,13629,NA,NA,NA,NA,NA,NA,671,34,64,6475,10,5866,509,NA,NA,NA,NA
2012,Georgia,Hearing impairment,1673,NA,NA,NA,NA,NA,NA,282,1,64,616,0,666,44,NA,NA,NA,NA
2012,Georgia,Intellectual disability,16903,NA,NA,NA,NA,NA,NA,1474,33,259,9292,16,5502,327,NA,NA,NA,NA
2012,Georgia,Multiple disabilities,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,Georgia,Orthopedic impairment,812,NA,NA,NA,NA,NA,NA,99,4,21,236,1,437,14,NA,NA,NA,NA
2012,Georgia,Other health impairment,26705,NA,NA,NA,NA,NA,NA,1596,60,210,9335,15,14610,879,NA,NA,NA,NA
2012,Georgia,Specific learning disability,58581,NA,NA,NA,NA,NA,NA,8789,130,665,23464,34,23972,1527,NA,NA,NA,NA
2012,Georgia,Speech or language impairment,23660,NA,NA,NA,NA,NA,NA,2677,42,629,7300,14,12162,836,NA,NA,NA,NA
2012,Georgia,Traumatic brain injury,418,NA,NA,NA,NA,NA,NA,43,2,9,157,0,194,13,NA,NA,NA,NA
2012,Georgia,Visual impairment,730,NA,NA,NA,NA,NA,NA,64,3,23,276,0,342,22,NA,NA,NA,NA
2013,Georgia,All Disabilities,173059,NA,NA,NA,NA,NA,NA,20180,360,2748,68592,127,75792,5260,NA,NA,10540,162519
2013,Georgia,Autism,13896,NA,NA,NA,NA,NA,NA,1232,30,516,4781,6,6869,462,NA,NA,443,13453
2013,Georgia,Deaf-blindness,22,NA,NA,NA,NA,NA,NA,1,0,1,7,0,13,0,NA,NA,0,22
2013,Georgia,Developmental delay (valid only for children ages 3-9 when defined by state),12638,NA,NA,NA,NA,NA,NA,1781,22,215,5220,12,4954,434,NA,NA,1282,11356
2013,Georgia,Emotional disturbance,12854,NA,NA,NA,NA,NA,NA,687,33,61,6062,12,5482,517,NA,NA,161,12693
2013,Georgia,Hearing impairment,1671,NA,NA,NA,NA,NA,NA,293,1,67,617,2,650,41,NA,NA,106,1565
2013,Georgia,Intellectual disability,16810,NA,NA,NA,NA,NA,NA,1564,32,249,9198,18,5415,334,NA,NA,530,16280
2013,Georgia,Multiple disabilities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,Georgia,Orthopedic impairment,800,NA,NA,NA,NA,NA,NA,111,4,25,212,2,428,18,NA,NA,62,738
2013,Georgia,Other health impairment,27923,NA,NA,NA,NA,NA,NA,1740,55,230,9928,22,15006,942,NA,NA,573,27350
2013,Georgia,Specific learning disability,61943,NA,NA,NA,NA,NA,NA,9912,127,704,24940,36,24571,1653,NA,NA,5327,56616
2013,Georgia,Speech or language impairment,23357,NA,NA,NA,NA,NA,NA,2747,53,640,7199,17,11874,827,NA,NA,1996,21361
2013,Georgia,Traumatic brain injury,402,NA,NA,NA,NA,NA,NA,40,1,11,155,0,184,11,NA,NA,16,386
2013,Georgia,Visual impairment,743,NA,NA,NA,NA,NA,NA,72,2,29,273,0,346,21,NA,NA,44,699
2014,Georgia,All Disabilities,178323,NA,NA,NA,NA,NA,NA,21966,355,2800,71129,142,76315,5616,NA,NA,11866,166457
2014,Georgia,Autism,14931,NA,NA,NA,NA,NA,NA,1412,29,569,5216,9,7189,507,NA,NA,550,14381
2014,Georgia,Deaf-blindness,24,NA,NA,NA,NA,NA,NA,2,0,2,6,0,13,1,NA,NA,0,24
2014,Georgia,Developmental delay,13558,NA,NA,NA,NA,NA,NA,1978,21,239,5711,14,5089,506,NA,NA,1436,12122
2014,Georgia,Emotional disturbance,12122,NA,NA,NA,NA,NA,NA,692,34,49,5707,13,5129,498,NA,NA,162,11960
2014,Georgia,Hearing impairment,1660,NA,NA,NA,NA,NA,NA,306,2,61,609,2,638,42,NA,NA,112,1548
2014,Georgia,Intellectual disability,16592,NA,NA,NA,NA,NA,NA,1639,27,252,9063,16,5255,340,NA,NA,637,15955
2014,Georgia,Multiple disabilities,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,Georgia,Orthopedic impairment,774,NA,NA,NA,NA,NA,NA,115,3,31,216,0,397,12,NA,NA,71,703
2014,Georgia,Other health impairment,29106,NA,NA,NA,NA,NA,NA,1933,59,237,10573,25,15259,1020,NA,NA,658,28448
2014,Georgia,Specific learning disability,65250,NA,NA,NA,NA,NA,NA,10967,139,703,26424,46,25133,1838,NA,NA,6161,59089
2014,Georgia,Speech or language impairment,23162,NA,NA,NA,NA,NA,NA,2798,40,615,7191,17,11688,813,NA,NA,2014,21148
2014,Georgia,Traumatic brain injury,402,NA,NA,NA,NA,NA,NA,45,1,9,150,0,183,14,NA,NA,17,385
2014,Georgia,Visual impairment,742,NA,NA,NA,NA,NA,NA,79,0,33,263,0,342,25,NA,NA,48,694
2015,Georgia,All Disabilities,184113,NA,NA,NA,NA,NA,NA,23874,341,3020,73575,136,77168,5999,NA,NA,13075,171038
2015,Georgia,Autism,16316,NA,NA,NA,NA,NA,NA,1653,37,648,5790,16,7600,572,NA,NA,671,15645
2015,Georgia,Deaf-blindness,33,NA,NA,NA,NA,NA,NA,2,0,1,11,0,16,3,NA,NA,0,33
2015,Georgia,Developmental delay,14271,NA,NA,NA,NA,NA,NA,2091,30,277,6005,15,5289,564,NA,NA,1532,12739
2015,Georgia,Emotional disturbance,11546,NA,NA,NA,NA,NA,NA,702,25,48,5484,11,4809,467,NA,NA,161,11385
2015,Georgia,Hearing impairment,1656,NA,NA,NA,NA,NA,NA,309,1,65,612,2,627,40,NA,NA,128,1528
2015,Georgia,Intellectual disability,16541,NA,NA,NA,NA,NA,NA,1735,25,266,8946,12,5185,372,NA,NA,734,15807
2015,Georgia,Multiple disabilities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,Georgia,Orthopedic impairment,737,NA,NA,NA,NA,NA,NA,115,2,34,195,0,374,17,NA,NA,65,672
2015,Georgia,Other health impairment,29963,NA,NA,NA,NA,NA,NA,2143,47,265,11104,17,15322,1065,NA,NA,754,29209
2015,Georgia,Specific learning disability,68913,NA,NA,NA,NA,NA,NA,12251,137,752,27905,41,25816,2011,NA,NA,7036,61877
2015,Georgia,Speech or language impairment,22959,NA,NA,NA,NA,NA,NA,2735,37,622,7101,21,11595,848,NA,NA,1922,21037
2015,Georgia,Traumatic brain injury,408,NA,NA,NA,NA,NA,NA,48,0,12,158,0,177,13,NA,NA,22,386
2015,Georgia,Visual impairment,770,NA,NA,NA,NA,NA,NA,90,0,30,264,1,358,27,NA,NA,50,720
2016,Georgia,All Disabilities,190541,NA,NA,NA,NA,NA,NA,25997,375,3170,76358,154,78013,6474,NA,NA,14892,175649
2016,Georgia,Autism,17657,NA,NA,NA,NA,NA,NA,1890,36,724,6407,18,7930,652,NA,NA,882,16775
2016,Georgia,Deaf-blindness,35,NA,NA,NA,NA,NA,NA,3,0,1,12,0,17,2,NA,NA,0,35
2016,Georgia,Developmental delay,14520,NA,NA,NA,NA,NA,NA,2170,29,275,6032,19,5412,583,NA,NA,1634,12886
2016,Georgia,Emotional disturbance,11090,NA,NA,NA,NA,NA,NA,700,27,53,5331,12,4499,468,NA,NA,194,10896
2016,Georgia,Hearing impairment,1663,NA,NA,NA,NA,NA,NA,323,1,64,605,2,618,50,NA,NA,130,1533
