year,state,disability,total_6to21,hisp,aian,asian7,black,nhpi7,white,tworace,total_ethnicity,api
2010,Louisiana,Multiple disabilities,948,19,9,NA,424,NA,485,NA,948,NA
2010,Louisiana,Autism,3095,65,NA,50,1207,NA,1744,21,3095,50
2010,Louisiana,Traumatic brain injury,NA,NA,NA,NA,NA,0,NA,0,NA,0
2010,Louisiana,Developmental delay,5434,109,42,40,2699,0,2510,34,5434,40
2010,Louisiana,All disabilities,72516,1561,582,448,35564,18,33980,363,72516,466
2010,Maine,Mental retardation,710,NA,9,NA,27,0,657,NA,710,0
2010,Maine,Hearing impairments,198,7,NA,NA,9,0,177,0,198,0
2010,Maine,Speech or language impairments,4805,100,63,69,118,NA,4397,NA,4805,69
2010,Maine,Visual impairments,64,NA,0,NA,NA,0,61,0,NA,0
2010,Maine,Emotional disturbance,2512,53,45,14,80,0,2304,16,2512,14
2010,Maine,Orthopedic impairments,49,NA,0,0,NA,0,NA,NA,49,0
2010,Maine,Other health impairments,5621,101,56,NA,166,NA,5214,44,5621,NA
2010,Maine,Specific learning disabilities,9324,160,134,59,233,NA,8677,NA,9324,59
2010,Maine,Deaf-blindness,NA,0,0,NA,0,0,NA,0,NA,0
2010,Maine,Multiple disabilities,2801,48,34,NA,83,NA,2589,23,2801,NA
2010,Maine,Autism,2241,33,20,NA,43,NA,2106,20,2241,NA
2010,Maine,Traumatic brain injury,60,0,0,0,NA,0,54,NA,NA,0
2010,Maine,Developmental delay,NA,NA,NA,NA,NA,0,42,0,NA,0
2010,Maine,All disabilities,28437,515,367,227,767,14,26323,224,28437,241
2010,Maryland,Mental retardation,5233,425,NA,145,2902,NA,1660,87,5233,145
2010,Maryland,Hearing impairments,1017,100,NA,73,301,NA,519,20,1017,73
2010,Maryland,Speech or language impairments,15059,1794,50,634,4981,12,7104,484,15059,646
2010,Maryland,Visual impairments,303,32,0,22,NA,0,125,NA,303,22
2010,Maryland,Emotional disturbance,7591,303,39,52,4437,NA,2602,153,NA,52
2010,Maryland,Orthopedic impairments,315,39,NA,11,140,0,116,NA,315,11
2010,Maryland,Other health impairments,15609,1118,67,233,6855,12,6896,428,15609,245
2010,Maryland,Specific learning disabilities,32560,4343,140,480,14992,24,11862,719,32560,504
2010,Maryland,Deaf-blindness,17,NA,0,0,NA,0,12,NA,NA,0
2010,Maryland,Multiple disabilities,3124,227,NA,88,1203,NA,1501,91,3124,88
2010,Maryland,Autism,8053,540,NA,460,2637,NA,4135,252,8053,460
2010,Maryland,Traumatic brain injury,252,NA,NA,7,122,0,98,NA,NA,7
2010,Maryland,Developmental delay,1482,246,7,68,710,0,400,51,1482,68
2010,Maryland,All disabilities,90615,9189,360,2273,39399,61,37030,2303,90615,2334
2010,Massachusetts,Mental retardation,10343,3313,46,265,1708,20,4819,172,10343,285
2010,Massachusetts,Hearing impairments,1058,198,NA,68,105,NA,665,14,1058,68
2010,Massachusetts,Speech or language impairments,24931,5144,71,1133,2306,14,15703,560,24931,1147
2010,Massachusetts,Visual impairments,528,72,NA,31,57,0,357,NA,528,31
2010,Massachusetts,Emotional disturbance,13863,2874,52,180,1907,21,8397,432,13863,201
2010,Massachusetts,Orthopedic impairments,1257,188,NA,30,108,NA,892,35,1257,30
2010,Massachusetts,Other health impairments,13838,1824,43,151,903,11,10602,304,13838,162
2010,Massachusetts,Specific learning disabilities,52211,10302,179,887,5780,52,33915,1096,52211,939
2010,Massachusetts,Deaf-blindness,161,39,NA,7,23,0,90,NA,161,7
2010,Massachusetts,Multiple disabilities,4572,661,14,112,343,16,3331,95,4572,128
2010,Massachusetts,Autism,9932,890,15,424,638,23,7720,222,9932,447
2010,Massachusetts,Traumatic brain injury,7249,713,17,161,481,9,5720,148,7249,170
2010,Massachusetts,Developmental delay,10921,2132,28,308,1035,12,7071,335,10921,320
2010,Massachusetts,All disabilities,150864,28350,473,3757,15394,184,99282,3424,150864,3941
2010,Michigan,Mental retardation,19946,965,175,236,6594,21,11708,247,19946,257
2010,Michigan,Hearing impairments,2672,203,NA,80,496,NA,1845,32,2672,80
2010,Michigan,Speech or language impairments,40500,2280,366,871,6494,41,29771,677,40500,912
2010,Michigan,Visual impairments,765,NA,NA,21,NA,0,546,NA,765,21
2010,Michigan,Emotional disturbance,13836,489,149,77,3139,9,9714,259,13836,86
2010,Michigan,Orthopedic impairments,2179,99,NA,40,369,NA,1629,23,2179,40
2010,Michigan,Other health impairments,19352,757,207,175,3108,14,14766,325,19352,189
2010,Michigan,Specific learning disabilities,77657,5026,885,566,18930,70,51034,1146,77657,636
2010,Michigan,Deaf-blindness,10,NA,0,NA,NA,0,6,0,NA,0
2010,Michigan,Multiple disabilities,2861,163,NA,55,627,NA,1971,28,2861,55
2010,Michigan,Autism,13636,447,106,311,1938,9,10661,164,13636,320
2010,Michigan,Traumatic brain injury,590,41,NA,NA,147,NA,375,NA,NA,NA
2010,Michigan,Developmental delay,1770,135,NA,46,397,NA,1137,35,1770,46
2010,Michigan,All disabilities,195774,10646,1962,2487,42382,173,135163,2961,195774,2660
2010,Minnesota,Mental retardation,8442,575,308,339,1326,9,5761,124,8442,348
2010,Minnesota,Hearing impairments,2030,205,NA,230,184,NA,1358,27,2030,230
2010,Minnesota,Speech or language impairments,16255,1219,407,958,1207,9,12167,288,16255,967
2010,Minnesota,Visual impairments,332,22,NA,22,NA,0,243,NA,332,22
2010,Minnesota,Emotional disturbance,15564,864,870,176,3326,16,9815,497,15564,192
2010,Minnesota,Orthopedic impairments,1523,90,30,74,118,NA,1191,NA,1523,74
2010,Minnesota,Other health impairments,15996,813,488,239,1768,10,12351,327,15996,249
2010,Minnesota,Specific learning disabilities,30532,3735,1053,1444,4488,18,19286,508,30532,1462
2010,Minnesota,Deaf-blindness,60,7,NA,NA,NA,0,40,NA,60,0
2010,Minnesota,Multiple disabilities,1146,87,28,55,143,NA,822,NA,1146,55
2010,Minnesota,Autism,13091,521,188,525,888,8,10755,206,13091,533
2010,Minnesota,Traumatic brain injury,404,24,15,18,53,0,284,10,404,18
2010,Minnesota,Developmental delay,2399,297,88,NA,291,NA,1555,95,2399,NA
2010,Minnesota,All disabilities,107774,8459,3514,4155,13828,77,75628,2113,107774,4232
2010,Mississippi,Mental retardation,3806,40,NA,16,2644,0,1097,6,NA,16
2010,Mississippi,Hearing impairments,652,18,NA,8,314,0,309,NA,652,8
2010,Mississippi,Speech or language impairments,16084,271,24,90,5975,6,9642,76,16084,96
2010,Mississippi,Visual impairments,304,5,NA,NA,165,0,131,NA,304,0
2010,Mississippi,Emotional disturbance,2631,31,7,5,1424,0,1149,15,2631,5
2010,Mississippi,Orthopedic impairments,465,9,NA,NA,202,0,249,0,465,0
2010,Mississippi,Other health impairments,6578,80,19,NA,3523,NA,2925,17,6578,NA
2010,Mississippi,Specific learning disabilities,16932,295,37,NA,9515,NA,7010,43,16932,NA
2010,Mississippi,Deaf-blindness,12,NA,0,0,NA,0,9,0,NA,0
2010,Mississippi,Multiple disabilities,852,14,NA,7,431,0,395,NA,852,7
2010,Mississippi,Autism,2180,40,NA,29,828,0,1274,NA,2180,29
2010,Mississippi,Traumatic brain injury,153,NA,0,NA,NA,0,79,NA,153,0
2010,Mississippi,Developmental delay,3198,67,NA,18,1754,NA,1332,19,3198,18
2010,Mississippi,All disabilities,53847,873,111,222,26847,10,25601,183,53847,232
2010,Missouri,Mental retardation,10212,339,49,94,3072,9,6555,94,10212,103
2010,Missouri,Hearing impairments,1152,44,NA,34,183,NA,873,14,1152,34
2010,Missouri,Speech or language impairments,29588,1101,139,438,4326,17,23186,381,29588,455
2010,Missouri,Visual impairments,453,21,NA,6,NA,NA,342,14,453,6
2010,Missouri,Emotional disturbance,6703,137,41,27,1933,0,4468,97,6703,27
2010,Missouri,Orthopedic impairments,525,21,NA,12,80,NA,405,5,525,12
2010,Missouri,Other health impairments,18613,415,114,99,3070,6,14680,229,18613,105
2010,Missouri,Specific learning disabilities,34552,1298,222,201,7614,23,24812,382,34552,224
2010,Missouri,Deaf-blindness,24,0,NA,NA,NA,0,19,0,NA,0
2010,Missouri,Multiple disabilities,1464,44,6,26,343,0,1026,19,1464,26
2010,Missouri,Autism,6894,198,NA,150,1014,NA,5403,91,6894,150
2010,Missouri,Traumatic brain injury,444,13,NA,NA,92,NA,325,8,NA,NA
2010,Missouri,Developmental delay,649,35,NA,7,142,NA,452,8,649,7
2010,Missouri,All disabilities,111273,3666,620,1097,21939,63,82546,1342,111273,1160
2010,Montana,Mental retardation,960,31,183,NA,11,NA,715,9,960,NA
2010,Montana,Hearing impairments,134,5,13,NA,NA,0,111,NA,134,0
2010,Montana,Speech or language impairments,3301,92,507,38,28,14,2606,16,3301,52
2010,Montana,Visual impairments,57,NA,10,NA,0,0,44,NA,57,0
2010,Montana,Emotional disturbance,937,40,130,NA,NA,NA,728,14,NA,NA
2010,Montana,Orthopedic impairments,59,NA,7,0,0,0,51,0,NA,0
2010,Montana,Other health impairments,1742,65,168,6,29,5,1452,17,1742,11
2010,Montana,Specific learning disabilities,6751,242,1168,30,77,17,5176,41,6751,47
2010,Montana,Deaf-blindness,NA,0,0,0,NA,0,NA,0,NA,0
2010,Montana,Multiple disabilities,553,18,62,NA,5,NA,459,NA,553,NA
2010,Montana,Autism,552,14,39,NA,10,NA,474,8,552,NA
2010,Montana,Traumatic brain injury,NA,NA,8,NA,NA,0,NA,0,NA,0
2010,Montana,Developmental delay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,Montana,All disabilities,15105,511,2295,96,184,47,11861,111,15105,143
2010,Nebraska,Mental retardation,3884,611,91,NA,429,NA,2626,95,3884,NA
2010,Nebraska,Hearing impairments,580,91,NA,12,39,NA,412,17,580,12
2010,Nebraska,Speech or language impairments,9509,1363,145,157,596,7,7017,224,9509,164
2010,Nebraska,Visual impairments,195,17,NA,9,5,0,157,NA,195,9
2010,Nebraska,Emotional disturbance,1930,155,78,NA,330,NA,1246,104,1930,NA
2010,Nebraska,Orthopedic impairments,262,27,6,7,13,0,202,7,262,7
2010,Nebraska,Other health impairments,5377,478,102,39,467,8,4076,207,5377,47
2010,Nebraska,Specific learning disabilities,13783,2586,377,119,1284,11,8935,471,13783,130
2010,Nebraska,Deaf-blindness,11,0,0,0,0,0,11,0,11,0
2010,Nebraska,Multiple disabilities,396,49,13,6,31,0,287,10,396,6
2010,Nebraska,Autism,1867,179,NA,45,97,NA,1472,50,1867,45
2010,Nebraska,Traumatic brain injury,204,25,NA,NA,12,0,155,NA,204,0
2010,Nebraska,Developmental delay,1251,193,45,NA,31,NA,923,42,1251,NA
2010,Nebraska,All disabilities,39249,5774,897,454,3334,37,27519,1234,39249,491
2010,Nevada,Mental retardation,1936,760,43,101,323,9,661,39,1936,110
2010,Nevada,Hearing impairments,477,187,10,40,41,8,178,13,477,48
2010,Nevada,Speech or language impairments,6324,1930,145,249,552,40,3186,222,6324,289
2010,Nevada,Visual impairments,146,52,NA,9,17,0,61,NA,146,9
2010,Nevada,Emotional disturbance,1950,307,37,18,424,NA,1092,66,NA,18
2010,Nevada,Orthopedic impairments,295,95,NA,9,30,NA,154,NA,295,9
2010,Nevada,Other health impairments,3421,685,66,49,497,14,2010,100,3421,63
2010,Nevada,Specific learning disabilities,22423,8846,549,462,3789,135,8145,497,22423,597
2010,Nevada,Deaf-blindness,7,0,NA,0,0,0,5,NA,NA,0
2010,Nevada,Multiple disabilities,999,316,5,64,150,11,423,30,999,75
2010,Nevada,Autism,3036,738,31,218,306,13,1630,100,3036,231
2010,Nevada,Traumatic brain injury,187,75,5,6,31,NA,65,NA,187,6
2010,Nevada,Developmental delay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,Nevada,All disabilities,41201,13991,897,1225,6160,239,17610,1079,41201,1464
2010,New Hampshire,Mental retardation,820,36,NA,9,31,NA,739,0,NA,9
2010,New Hampshire,Hearing impairments,215,14,0,NA,NA,0,194,NA,215,0
2010,New Hampshire,Speech or language impairments,3981,126,11,65,81,NA,3692,NA,3981,65
2010,New Hampshire,Visual impairments,91,NA,0,NA,NA,0,86,0,91,0
2010,New Hampshire,Emotional disturbance,2288,59,NA,6,61,0,2157,NA,2288,6
2010,New Hampshire,Orthopedic impairments,88,NA,0,NA,0,NA,84,0,88,NA
2010,New Hampshire,Other health impairments,4852,133,6,22,115,NA,4570,NA,4852,22
2010,New Hampshire,Specific learning disabilities,11266,425,39,63,264,NA,10465,5,NA,63
2010,New Hampshire,Deaf-blindness,5,0,0,0,0,0,NA,0,NA,0
2010,New Hampshire,Multiple disabilities,370,13,0,NA,NA,0,346,0,370,0
2010,New Hampshire,Autism,1513,28,NA,20,19,NA,1436,NA,1513,20
2010,New Hampshire,Traumatic brain injury,54,NA,0,0,NA,0,NA,0,NA,0
2010,New Hampshire,Developmental delay,1242,42,0,16,44,NA,1138,NA,1242,16
2010,New Hampshire,All disabilities,26785,881,67,212,628,NA,24962,NA,26785,212
2010,New Jersey,Mental retardation,5347,1632,21,224,1811,NA,1634,NA,5347,224
2010,New Jersey,Hearing impairments,1491,365,5,104,206,6,797,8,1491,110
2010,New Jersey,Speech or language impairments,45778,9088,66,2810,5993,102,27434,285,45778,2912
2010,New Jersey,Visual impairments,383,76,NA,NA,NA,0,228,NA,NA,0
2010,New Jersey,Emotional disturbance,9054,1543,16,148,3044,16,4234,53,9054,164
2010,New Jersey,Orthopedic impairments,486,NA,NA,29,55,NA,330,NA,486,29
2010,New Jersey,Other health impairments,34208,5227,41,793,5568,37,22372,170,34208,830
2010,New Jersey,Specific learning disabilities,84769,18489,107,1856,16970,60,46906,381,84769,1916
2010,New Jersey,Deaf-blindness,12,NA,0,NA,NA,0,6,0,NA,0
2010,New Jersey,Multiple disabilities,20299,3882,29,628,5849,23,9775,113,20299,651
2010,New Jersey,Autism,12257,1753,18,1081,1699,26,7613,67,12257,1107
2010,New Jersey,Traumatic brain injury,845,169,NA,39,252,0,376,NA,845,39
2010,New Jersey,Developmental delay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,New Jersey,All disabilities,214929,42294,307,7742,41495,276,121705,1110,214929,8018
2010,New Mexico,Mental retardation,1859,1120,235,20,62,NA,404,NA,1859,20
2010,New Mexico,Hearing impairments,527,306,65,8,18,0,125,5,527,8
2010,New Mexico,Speech or language impairments,10012,6017,1024,83,198,6,2575,109,10012,89
2010,New Mexico,Visual impairments,191,NA,26,NA,NA,0,NA,NA,191,0
2010,New Mexico,Emotional disturbance,2140,1088,222,NA,86,0,704,32,NA,0
2010,New Mexico,Orthopedic impairments,260,152,16,NA,6,0,77,NA,260,0
2010,New Mexico,Other health impairments,3313,1701,245,NA,84,NA,1228,40,3313,NA
2010,New Mexico,Specific learning disabilities,17939,11152,2268,NA,485,NA,3796,171,17939,NA
2010,New Mexico,Deaf-blindness,5,NA,0,0,0,0,NA,0,NA,0
2010,New Mexico,Multiple disabilities,865,472,127,10,10,NA,239,NA,865,10
2010,New Mexico,Autism,1408,604,72,21,36,0,640,35,1408,21
2010,New Mexico,Traumatic brain injury,190,108,27,NA,NA,0,49,NA,190,0
2010,New Mexico,Developmental delay,2695,1422,511,21,56,0,662,23,2695,21
2010,New Mexico,All disabilities,41404,24252,4838,256,1049,11,10549,449,41404,267
2010,New York,Mental retardation,11960,3236,97,550,3738,8,4286,45,11960,558
2010,New York,Hearing impairments,4223,1191,19,373,722,7,1896,15,4223,380
2010,New York,Speech or language impairments,84018,29983,536,4078,18012,58,30958,393,84018,4136
2010,New York,Visual impairments,1268,268,NA,67,235,NA,NA,NA,1268,67
2010,New York,Emotional disturbance,31971,7500,236,437,12738,19,10835,206,31971,456
2010,New York,Orthopedic impairments,1903,401,20,111,409,NA,959,NA,1903,111
2010,New York,Other health impairments,56921,7588,290,1018,8816,28,38800,381,56921,1046
2010,New York,Specific learning disabilities,157090,42599,1104,4393,37621,79,70711,583,157090,4472
2010,New York,Deaf-blindness,9,NA,0,0,0,0,NA,0,9,0
2010,New York,Multiple disabilities,18010,3070,97,630,3631,20,10497,65,18010,650
2010,New York,Autism,21095,3493,133,997,3816,47,12497,112,21095,1044
2010,New York,Traumatic brain injury,1151,NA,NA,49,222,NA,694,5,1151,49
2010,New York,Developmental delay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,New York,All disabilities,389619,99506,2546,12703,89960,272,182820,1812,389619,12975
2010,North Carolina,Mental retardation,19026,1487,631,166,9506,15,6842,379,19026,181
2010,North Carolina,Hearing impairments,1964,306,NA,42,580,NA,945,56,1964,42
2010,North Carolina,Speech or language impairments,23083,2164,592,337,5598,16,13674,702,23083,353
2010,North Carolina,Visual impairments,618,65,NA,NA,194,0,325,18,618,0
2010,North Carolina,Emotional disturbance,6688,231,73,13,3400,NA,2702,266,NA,13
2010,North Carolina,Orthopedic impairments,879,76,11,14,187,0,571,20,879,14
2010,North Carolina,Other health impairments,30541,1370,402,138,9515,15,18010,1091,30541,153
2010,North Carolina,Specific learning disabilities,64680,8260,1271,513,21240,39,31484,1873,64680,552
2010,North Carolina,Deaf-blindness,34,5,0,0,NA,0,23,NA,NA,0
2010,North Carolina,Multiple disabilities,2188,205,32,NA,660,NA,1214,43,2188,NA
2010,North Carolina,Autism,10717,701,62,236,2811,7,6553,347,10717,243
2010,North Carolina,Traumatic brain injury,421,37,0,NA,NA,0,211,NA,421,0
2010,North Carolina,Developmental delay,5835,786,70,85,2061,7,2629,197,5835,92
2010,North Carolina,All disabilities,166674,15693,3181,1590,55909,108,85183,5010,166674,1698
2010,North Dakota,Mental retardation,757,19,92,7,27,NA,605,NA,757,7
2010,North Dakota,Hearing impairments,101,5,12,NA,NA,0,81,NA,101,0
2010,North Dakota,Speech or language impairments,2518,83,325,23,65,12,1980,30,2518,35
2010,North Dakota,Visual impairments,50,NA,NA,0,0,0,43,0,50,0
2010,North Dakota,Emotional disturbance,836,22,109,NA,39,0,656,NA,836,0
2010,North Dakota,Orthopedic impairments,86,NA,NA,0,0,0,82,0,86,0
2010,North Dakota,Other health impairments,1609,43,118,NA,38,NA,1388,14,1609,NA
2010,North Dakota,Specific learning disabilities,4142,150,459,15,92,NA,3388,32,NA,15
2010,North Dakota,Deaf-blindness,5,0,0,0,0,0,5,0,5,0
2010,North Dakota,Multiple disabilities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,North Dakota,Autism,590,13,27,NA,14,0,528,NA,NA,0
2010,North Dakota,Traumatic brain injury,55,NA,8,NA,NA,0,42,NA,NA,0
2010,North Dakota,Developmental delay,707,22,137,NA,22,NA,510,7,707,NA
2010,North Dakota,All disabilities,11456,362,1295,62,299,28,9308,102,11456,90
2010,Northern Marianas,Mental retardation,68,NA,0,NA,0,47,0,NA,NA,47
2010,Northern Marianas,Hearing impairments,19,0,0,NA,0,NA,0,NA,19,NA
2010,Northern Marianas,Speech or language impairments,43,0,0,NA,0,NA,0,NA,43,NA
2010,Northern Marianas,Visual impairments,6,0,0,NA,0,NA,0,NA,NA,NA
2010,Northern Marianas,Emotional disturbance,9,0,0,NA,0,6,NA,NA,9,6
2010,Northern Marianas,Orthopedic impairments,NA,0,0,NA,0,NA,0,NA,NA,NA
2010,Northern Marianas,Other health impairments,NA,0,0,NA,0,NA,NA,NA,NA,NA
2010,Northern Marianas,Specific learning disabilities,NA,0,0,NA,0,336,NA,82,NA,336
2010,Northern Marianas,Deaf-blindness,NA,0,0,0,0,0,0,NA,NA,0
2010,Northern Marianas,Multiple disabilities,27,0,0,NA,0,NA,NA,NA,NA,NA
2010,Northern Marianas,Autism,63,0,0,22,0,NA,0,NA,63,22
2010,Northern Marianas,Traumatic brain injury,NA,0,0,0,0,NA,0,0,NA,0
2010,Northern Marianas,Developmental delay,46,NA,0,NA,0,18,NA,14,46,18
2010,Northern Marianas,All disabilities,840,0,0,140,0,530,8,162,840,670
2010,Ohio,Mental retardation,26416,722,NA,100,7629,NA,16914,996,26416,100
2010,Ohio,Hearing impairments,2255,99,NA,34,348,NA,1685,82,2255,34
2010,Ohio,Speech or language impairments,29346,904,46,321,3608,7,23233,1227,29346,328
2010,Ohio,Visual impairments,969,NA,0,27,NA,0,767,NA,969,27
2010,Ohio,Emotional disturbance,16483,374,32,36,5174,7,9943,917,16483,43
2010,Ohio,Orthopedic impairments,1684,48,NA,NA,253,0,1292,63,1684,0
2010,Ohio,Other health impairments,29947,820,NA,153,4645,NA,22940,1330,29947,153
2010,Ohio,Specific learning disabilities,100061,3415,180,425,18649,19,73438,3935,100061,444
2010,Ohio,Deaf-blindness,42,NA,NA,0,NA,0,32,NA,42,0
2010,Ohio,Multiple disabilities,13398,381,17,108,2607,5,9830,450,13398,113
2010,Ohio,Autism,15068,354,NA,219,1749,NA,12177,542,15068,219
2010,Ohio,Traumatic brain injury,1331,33,NA,NA,251,NA,992,42,1331,NA
2010,Ohio,Developmental delay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,Ohio,All disabilities,237000,7182,417,1459,45033,50,173243,9616,237000,1509
2010,Oklahoma,Mental retardation,5387,529,901,55,997,0,2716,189,5387,55
2010,Oklahoma,Hearing impairments,965,107,133,21,101,0,574,29,965,21
2010,Oklahoma,Speech or language impairments,9807,856,1852,145,816,9,5894,235,9807,154
2010,Oklahoma,Visual impairments,442,NA,66,NA,26,0,298,15,442,0
2010,Oklahoma,Emotional disturbance,4489,193,714,16,719,5,2707,135,4489,21
2010,Oklahoma,Orthopedic impairments,429,49,NA,NA,46,0,265,NA,429,0
2010,Oklahoma,Other health impairments,11347,571,1883,NA,1140,NA,7338,340,11347,NA
2010,Oklahoma,Specific learning disabilities,40633,4439,7654,229,5509,28,21770,1004,40633,257
2010,Oklahoma,Deaf-blindness,17,NA,NA,0,0,0,13,NA,NA,0
2010,Oklahoma,Multiple disabilities,1514,117,254,NA,154,NA,934,40,1514,NA
2010,Oklahoma,Autism,2898,170,389,NA,246,NA,1955,72,2898,NA
2010,Oklahoma,Traumatic brain injury,271,27,60,NA,32,0,141,9,NA,0
2010,Oklahoma,Developmental delay,10753,904,1729,119,933,14,6596,458,10753,133
2010,Oklahoma,All disabilities,88952,7989,15691,750,10719,62,51201,2540,88952,812
2010,Oregon,Mental retardation,3926,743,106,81,180,13,2682,121,3926,94
2010,Oregon,Hearing impairments,827,206,18,52,40,12,482,17,827,64
2010,Oregon,Speech or language impairments,16354,3582,377,580,515,93,10654,553,16354,673
2010,Oregon,Visual impairments,312,65,NA,8,13,NA,207,8,312,8
2010,Oregon,Emotional disturbance,4638,468,152,41,324,15,3418,220,4638,56
2010,Oregon,Orthopedic impairments,718,123,NA,28,21,NA,511,17,718,28
2010,Oregon,Other health impairments,9954,1216,230,130,503,35,7452,388,9954,165
2010,Oregon,Specific learning disabilities,27293,6561,733,334,1025,NA,17739,801,NA,334
2010,Oregon,Deaf-blindness,8,NA,0,NA,0,0,NA,0,NA,0
2010,Oregon,Multiple disabilities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,Oregon,Autism,7357,812,126,275,164,22,5664,294,7357,297
2010,Oregon,Traumatic brain injury,271,NA,7,NA,10,NA,NA,8,271,NA
2010,Oregon,Developmental delay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,Oregon,All disabilities,71658,13828,1770,1535,2795,299,49004,2427,71658,1834
2010,Pennsylvania,Mental retardation,20334,1652,29,274,5117,5,13185,72,20334,279
2010,Pennsylvania,Hearing impairments,2635,217,6,80,382,0,1942,8,2635,80
2010,Pennsylvania,Speech or language impairments,39652,2043,78,790,4609,9,31923,200,39652,799
2010,Pennsylvania,Visual impairments,1047,64,5,25,164,0,779,10,1047,25
2010,Pennsylvania,Emotional disturbance,23778,1743,NA,110,6427,NA,15257,176,23778,110
2010,Pennsylvania,Orthopedic impairments,786,75,0,14,178,NA,517,NA,786,14
2010,Pennsylvania,Other health impairments,24081,1668,NA,221,3479,NA,18536,134,24081,221
2010,Pennsylvania,Specific learning disabilities,130105,12376,207,1179,25516,16,90267,544,130105,1195
2010,Pennsylvania,Deaf-blindness,63,NA,0,NA,11,NA,45,0,63,NA
2010,Pennsylvania,Multiple disabilities,2821,243,12,61,465,NA,2032,NA,2821,61
2010,Pennsylvania,Autism,17973,876,37,459,2297,9,14212,83,17973,468
2010,Pennsylvania,Traumatic brain injury,671,34,NA,NA,100,0,529,0,671,0
2010,Pennsylvania,Developmental delay,62,NA,0,NA,18,0,37,0,62,0
2010,Pennsylvania,All disabilities,264008,20998,479,3225,48763,47,189261,1235,264008,3272
2010,Puerto Rico,Mental retardation,9365,9341,10,NA,NA,NA,NA,NA,9365,NA
2010,Puerto Rico,Hearing impairments,787,785,NA,0,NA,NA,0,NA,787,0
2010,Puerto Rico,Speech or language impairments,24884,24845,17,NA,NA,NA,9,NA,24884,NA
2010,Puerto Rico,Visual impairments,644,641,0,0,NA,NA,NA,NA,644,0
2010,Puerto Rico,Emotional disturbance,1462,1459,0,NA,NA,NA,0,NA,1462,NA
2010,Puerto Rico,Orthopedic impairments,443,NA,NA,0,0,NA,0,NA,443,0
2010,Puerto Rico,Other health impairments,9250,9230,NA,9,NA,NA,8,NA,9250,9
2010,Puerto Rico,Specific learning disabilities,62498,62369,34,40,21,NA,34,NA,62498,40
2010,Puerto Rico,Deaf-blindness,44,NA,0,0,0,NA,0,NA,NA,0
2010,Puerto Rico,Multiple disabilities,1204,1202,0,NA,NA,NA,0,NA,1204,NA
2010,Puerto Rico,Autism,1976,1968,NA,NA,NA,NA,NA,NA,1976,NA
2010,Puerto Rico,Traumatic brain injury,51,NA,0,0,0,NA,0,NA,NA,0
2010,Puerto Rico,Developmental delay,0,NA,0,0,0,NA,0,NA,NA,0
2010,Puerto Rico,All disabilities,112608,112377,68,65,NA,0,NA,0,112608,65
2010,Rhode Island,Mental retardation,885,243,NA,18,103,NA,484,27,885,18
2010,Rhode Island,Hearing impairments,148,40,NA,5,10,0,90,NA,148,5
2010,Rhode Island,Speech or language impairments,3216,693,NA,71,247,NA,2095,84,3216,71
2010,Rhode Island,Visual impairments,64,11,NA,5,NA,0,NA,NA,64,5
2010,Rhode Island,Emotional disturbance,2239,435,46,16,352,5,1330,55,2239,21
2010,Rhode Island,Orthopedic impairments,75,NA,NA,NA,7,0,56,0,75,0
2010,Rhode Island,Other health impairments,3576,486,33,NA,256,NA,2703,73,3576,NA
2010,Rhode Island,Specific learning disabilities,9111,2397,106,124,999,5,5273,207,9111,129
2010,Rhode Island,Deaf-blindness,5,NA,0,0,NA,0,NA,0,NA,0
2010,Rhode Island,Multiple disabilities,325,59,6,8,13,0,234,5,325,8
2010,Rhode Island,Autism,1606,154,NA,33,88,NA,1287,31,1606,33
2010,Rhode Island,Traumatic brain injury,64,14,NA,NA,NA,NA,42,0,NA,NA
2010,Rhode Island,Developmental delay,1073,281,NA,17,93,NA,633,35,1073,17
2010,Rhode Island,All disabilities,22387,4821,254,325,2176,20,14272,519,22387,345
2010,South Carolina,Mental retardation,7922,228,NA,55,4991,NA,2539,86,7922,55
2010,South Carolina,Hearing impairments,1041,65,NA,24,431,0,500,NA,1041,24
2010,South Carolina,Speech or language impairments,16109,791,39,147,5424,16,9282,410,16109,163
2010,South Carolina,Visual impairments,390,19,0,NA,125,0,231,NA,390,0
2010,South Carolina,Emotional disturbance,3260,62,12,NA,1738,NA,1347,95,NA,NA
2010,South Carolina,Orthopedic impairments,624,26,NA,NA,205,0,374,9,624,0
2010,South Carolina,Other health impairments,9872,223,NA,31,3403,NA,5984,207,9872,31
2010,South Carolina,Specific learning disabilities,42419,2186,168,133,19016,14,20117,785,42419,147
2010,South Carolina,Deaf-blindness,NA,0,0,0,0,0,NA,0,NA,0
2010,South Carolina,Multiple disabilities,600,37,NA,NA,168,NA,377,10,600,NA
