year,state,disability,total_6to21,aian5,api5,black5,hisp5,white5,total_ethnicity5,hisp7,aian7,asian7,black7,nhpi7,white7,tworace7,total_ethnicity7
2008,Idaho,All disabilities,23949,577,267,391,3229,19485,23949,NA,NA,NA,NA,NA,NA,NA,NA
2008,Illinois,Mental retardation,23200,36,467,9191,3856,9650,23200,NA,NA,NA,NA,NA,NA,NA,NA
2008,Illinois,Hearing impairments,3670,7,132,628,833,2070,3670,NA,NA,NA,NA,NA,NA,NA,NA
2008,Illinois,Speech or language impairments,52989,107,1444,7937,9025,34476,52989,NA,NA,NA,NA,NA,NA,NA,NA
2008,Illinois,Visual impairments,1088,NA,NA,239,169,642,1088,NA,NA,NA,NA,NA,NA,NA,NA
2008,Illinois,Emotional disturbance,24881,56,223,8785,2578,13239,24881,NA,NA,NA,NA,NA,NA,NA,NA
2008,Illinois,Orthopedic impairments,1863,NA,NA,367,349,1097,1863,NA,NA,NA,NA,NA,NA,NA,NA
2008,Illinois,Other health impairments,25417,50,265,3562,2034,19506,25417,NA,NA,NA,NA,NA,NA,NA,NA
2008,Illinois,Specific learning disabilities,130080,231,1449,32307,28029,68064,130080,NA,NA,NA,NA,NA,NA,NA,NA
2008,Illinois,Deaf-blindness,33,NA,NA,6,NA,23,33,NA,NA,NA,NA,NA,NA,NA,NA
2008,Illinois,Multiple disabilities,1561,5,40,276,232,1008,1561,NA,NA,NA,NA,NA,NA,NA,NA
2008,Illinois,Autism,12004,25,575,1989,1393,8022,12004,NA,NA,NA,NA,NA,NA,NA,NA
2008,Illinois,Traumatic brain injury,744,NA,NA,233,NA,372,744,NA,NA,NA,NA,NA,NA,NA,NA
2008,Illinois,Developmental delay,4002,9,130,781,712,2370,4002,NA,NA,NA,NA,NA,NA,NA,NA
2008,Illinois,All disabilities,281532,531,4823,66301,49338,160539,281532,NA,NA,NA,NA,NA,NA,NA,NA
2008,Indiana,Mental retardation,18812,39,89,4797,997,12890,18812,NA,NA,NA,NA,NA,NA,NA,NA
2008,Indiana,Hearing impairments,2142,6,46,213,118,1759,2142,NA,NA,NA,NA,NA,NA,NA,NA
2008,Indiana,Speech or language impairments,36863,79,334,3233,1838,31379,36863,NA,NA,NA,NA,NA,NA,NA,NA
2008,Indiana,Visual impairments,884,NA,NA,108,45,717,884,NA,NA,NA,NA,NA,NA,NA,NA
2008,Indiana,Emotional disturbance,14340,47,28,2656,284,11325,14340,NA,NA,NA,NA,NA,NA,NA,NA
2008,Indiana,Orthopedic impairments,1483,0,21,119,76,1267,1483,NA,NA,NA,NA,NA,NA,NA,NA
2008,Indiana,Other health impairments,11785,31,45,1178,236,10295,11785,NA,NA,NA,NA,NA,NA,NA,NA
2008,Indiana,Specific learning disabilities,59258,115,199,7685,3122,48137,59258,NA,NA,NA,NA,NA,NA,NA,NA
2008,Indiana,Deaf-blindness,19,0,0,NA,0,NA,19,NA,NA,NA,NA,NA,NA,NA,NA
2008,Indiana,Multiple disabilities,1831,NA,NA,176,82,1558,1831,NA,NA,NA,NA,NA,NA,NA,NA
2008,Indiana,Autism,9337,13,107,812,270,8135,9337,NA,NA,NA,NA,NA,NA,NA,NA
2008,Indiana,Traumatic brain injury,526,NA,NA,NA,24,NA,526,NA,NA,NA,NA,NA,NA,NA,NA
2008,Indiana,Developmental delay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,Indiana,All disabilities,157280,334,896,21046,7092,127912,157280,NA,NA,NA,NA,NA,NA,NA,NA
2008,Iowa,Mental retardation,10583,64,108,1002,697,8712,10583,NA,NA,NA,NA,NA,NA,NA,NA
2008,Iowa,Hearing impairments,437,NA,NA,41,29,359,437,NA,NA,NA,NA,NA,NA,NA,NA
2008,Iowa,Speech or language impairments,5295,32,54,502,348,4359,5295,NA,NA,NA,NA,NA,NA,NA,NA
2008,Iowa,Visual impairments,86,0,NA,NA,NA,71,86,NA,NA,NA,NA,NA,NA,NA,NA
2008,Iowa,Emotional disturbance,5989,36,61,568,394,4930,5989,NA,NA,NA,NA,NA,NA,NA,NA
2008,Iowa,Orthopedic impairments,694,NA,NA,66,45,572,694,NA,NA,NA,NA,NA,NA,NA,NA
2008,Iowa,Other health impairments,86,0,NA,NA,NA,71,86,NA,NA,NA,NA,NA,NA,NA,NA
2008,Iowa,Specific learning disabilities,37038,221,378,3508,2437,30494,37038,NA,NA,NA,NA,NA,NA,NA,NA
2008,Iowa,Deaf-blindness,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
2008,Iowa,Multiple disabilities,344,NA,NA,33,22,284,344,NA,NA,NA,NA,NA,NA,NA,NA
2008,Iowa,Autism,694,NA,NA,66,46,572,694,NA,NA,NA,NA,NA,NA,NA,NA
2008,Iowa,Traumatic brain injury,172,NA,NA,16,11,141,172,NA,NA,NA,NA,NA,NA,NA,NA
2008,Iowa,Developmental delay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,Iowa,All disabilities,61418,367,627,5818,4041,50565,61418,NA,NA,NA,NA,NA,NA,NA,NA
2008,Kansas,Mental retardation,3911,62,46,820,451,2532,3911,NA,NA,NA,NA,NA,NA,NA,NA
2008,Kansas,Hearing impairments,547,11,14,47,76,399,547,NA,NA,NA,NA,NA,NA,NA,NA
2008,Kansas,Speech or language impairments,9117,134,171,630,908,7274,9117,NA,NA,NA,NA,NA,NA,NA,NA
2008,Kansas,Visual impairments,170,NA,NA,22,24,116,170,NA,NA,NA,NA,NA,NA,NA,NA
2008,Kansas,Emotional disturbance,2963,55,18,503,177,2210,2963,NA,NA,NA,NA,NA,NA,NA,NA
2008,Kansas,Orthopedic impairments,301,NA,NA,NA,40,241,301,NA,NA,NA,NA,NA,NA,NA,NA
2008,Kansas,Other health impairments,7001,119,44,770,442,5626,7001,NA,NA,NA,NA,NA,NA,NA,NA
2008,Kansas,Specific learning disabilities,23229,456,271,2825,3358,16319,23229,NA,NA,NA,NA,NA,NA,NA,NA
2008,Kansas,Deaf-blindness,17,0,NA,NA,NA,12,17,NA,NA,NA,NA,NA,NA,NA,NA
2008,Kansas,Multiple disabilities,2232,44,30,260,183,1715,2232,NA,NA,NA,NA,NA,NA,NA,NA
2008,Kansas,Autism,1881,26,62,177,138,1478,1881,NA,NA,NA,NA,NA,NA,NA,NA
2008,Kansas,Traumatic brain injury,204,NA,NA,22,NA,153,204,NA,NA,NA,NA,NA,NA,NA,NA
2008,Kansas,Developmental delay,4261,72,55,461,535,3138,4261,NA,NA,NA,NA,NA,NA,NA,NA
2008,Kansas,All disabilities,55834,990,727,6549,6355,41213,55834,NA,NA,NA,NA,NA,NA,NA,NA
2008,Kentucky,Mental retardation,16462,21,40,2362,213,13826,16462,NA,NA,NA,NA,NA,NA,NA,NA
2008,Kentucky,Hearing impairments,609,NA,NA,56,24,520,609,NA,NA,NA,NA,NA,NA,NA,NA
2008,Kentucky,Speech or language impairments,20250,34,153,1726,457,17880,20250,NA,NA,NA,NA,NA,NA,NA,NA
2008,Kentucky,Visual impairments,449,0,NA,33,NA,411,449,NA,NA,NA,NA,NA,NA,NA,NA
2008,Kentucky,Emotional disturbance,5352,9,5,1281,61,3996,5352,NA,NA,NA,NA,NA,NA,NA,NA
2008,Kentucky,Orthopedic impairments,447,0,5,44,11,387,447,NA,NA,NA,NA,NA,NA,NA,NA
2008,Kentucky,Other health impairments,15484,18,41,2001,184,13240,15484,NA,NA,NA,NA,NA,NA,NA,NA
2008,Kentucky,Specific learning disabilities,13587,22,35,1503,422,11605,13587,NA,NA,NA,NA,NA,NA,NA,NA
2008,Kentucky,Deaf-blindness,18,0,0,NA,NA,16,18,NA,NA,NA,NA,NA,NA,NA,NA
2008,Kentucky,Multiple disabilities,3692,9,13,328,52,3290,3692,NA,NA,NA,NA,NA,NA,NA,NA
2008,Kentucky,Autism,2764,NA,33,298,NA,2396,2764,NA,NA,NA,NA,NA,NA,NA,NA
2008,Kentucky,Traumatic brain injury,245,0,NA,NA,NA,208,245,NA,NA,NA,NA,NA,NA,NA,NA
2008,Kentucky,Developmental delay,8618,24,48,1175,217,7154,8618,NA,NA,NA,NA,NA,NA,NA,NA
2008,Kentucky,All disabilities,87977,144,384,10839,1681,74929,87977,NA,NA,NA,NA,NA,NA,NA,NA
2008,Louisiana,Mental retardation,8046,46,32,5319,76,2573,8046,NA,NA,NA,NA,NA,NA,NA,NA
2008,Louisiana,Hearing impairments,1116,13,13,448,37,605,1116,NA,NA,NA,NA,NA,NA,NA,NA
2008,Louisiana,Speech or language impairments,19374,168,195,7334,389,11288,19374,NA,NA,NA,NA,NA,NA,NA,NA
2008,Louisiana,Visual impairments,428,NA,NA,175,NA,236,428,NA,NA,NA,NA,NA,NA,NA,NA
2008,Louisiana,Emotional disturbance,2460,NA,NA,1508,22,910,2460,NA,NA,NA,NA,NA,NA,NA,NA
2008,Louisiana,Orthopedic impairments,1063,13,6,420,20,604,1063,NA,NA,NA,NA,NA,NA,NA,NA
2008,Louisiana,Other health impairments,9368,57,27,3541,112,5631,9368,NA,NA,NA,NA,NA,NA,NA,NA
2008,Louisiana,Specific learning disabilities,25104,252,69,14349,400,10034,25104,NA,NA,NA,NA,NA,NA,NA,NA
2008,Louisiana,Deaf-blindness,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,Louisiana,Multiple disabilities,948,6,11,408,16,507,948,NA,NA,NA,NA,NA,NA,NA,NA
2008,Louisiana,Autism,2480,5,45,979,46,1405,2480,NA,NA,NA,NA,NA,NA,NA,NA
2008,Louisiana,Traumatic brain injury,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,Louisiana,Developmental delay,5534,65,32,2926,80,2431,5534,NA,NA,NA,NA,NA,NA,NA,NA
2008,Louisiana,All disabilities,76162,646,441,37533,1209,36333,76162,NA,NA,NA,NA,NA,NA,NA,NA
2008,Maine,Mental retardation,749,7,5,27,10,700,749,NA,NA,NA,NA,NA,NA,NA,NA
2008,Maine,Hearing impairments,236,NA,7,NA,6,217,236,NA,NA,NA,NA,NA,NA,NA,NA
2008,Maine,Speech or language impairments,5664,66,106,137,104,5251,5664,NA,NA,NA,NA,NA,NA,NA,NA
2008,Maine,Visual impairments,70,NA,NA,NA,NA,64,70,NA,NA,NA,NA,NA,NA,NA,NA
2008,Maine,Emotional disturbance,2736,42,9,80,31,2574,2736,NA,NA,NA,NA,NA,NA,NA,NA
2008,Maine,Orthopedic impairments,53,NA,0,NA,NA,NA,53,NA,NA,NA,NA,NA,NA,NA,NA
2008,Maine,Other health impairments,5489,65,37,157,69,5161,5489,NA,NA,NA,NA,NA,NA,NA,NA
2008,Maine,Specific learning disabilities,9816,135,72,223,123,9263,9816,NA,NA,NA,NA,NA,NA,NA,NA
2008,Maine,Deaf-blindness,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,Maine,Multiple disabilities,2851,27,23,58,42,2701,2851,NA,NA,NA,NA,NA,NA,NA,NA
2008,Maine,Autism,1816,15,16,29,21,1735,1816,NA,NA,NA,NA,NA,NA,NA,NA
2008,Maine,Traumatic brain injury,80,NA,NA,NA,0,76,80,NA,NA,NA,NA,NA,NA,NA,NA
2008,Maine,Developmental delay,NA,0,0,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,Maine,All disabilities,29584,360,278,722,412,27812,29584,NA,NA,NA,NA,NA,NA,NA,NA
2008,Maryland,Mental retardation,5660,18,150,3240,348,1904,5660,NA,NA,NA,NA,NA,NA,NA,NA
2008,Maryland,Hearing impairments,1075,0,75,326,93,581,1075,NA,NA,NA,NA,NA,NA,NA,NA
2008,Maryland,Speech or language impairments,16525,83,698,5692,1571,8481,16525,NA,NA,NA,NA,NA,NA,NA,NA
2008,Maryland,Visual impairments,400,NA,NA,172,28,183,400,NA,NA,NA,NA,NA,NA,NA,NA
2008,Maryland,Emotional disturbance,8381,47,57,4932,227,3118,8381,NA,NA,NA,NA,NA,NA,NA,NA
2008,Maryland,Orthopedic impairments,388,NA,NA,185,36,150,388,NA,NA,NA,NA,NA,NA,NA,NA
2008,Maryland,Other health impairments,14862,63,251,6606,770,7172,14862,NA,NA,NA,NA,NA,NA,NA,NA
2008,Maryland,Specific learning disabilities,33332,115,490,15483,3657,13587,33332,NA,NA,NA,NA,NA,NA,NA,NA
2008,Maryland,Deaf-blindness,21,0,0,NA,NA,14,21,NA,NA,NA,NA,NA,NA,NA,NA
2008,Maryland,Multiple disabilities,2484,15,85,924,128,1332,2484,NA,NA,NA,NA,NA,NA,NA,NA
2008,Maryland,Autism,6775,16,389,2282,344,3744,6775,NA,NA,NA,NA,NA,NA,NA,NA
2008,Maryland,Traumatic brain injury,301,NA,NA,NA,NA,136,301,NA,NA,NA,NA,NA,NA,NA,NA
2008,Maryland,Developmental delay,1044,NA,NA,574,154,285,1044,NA,NA,NA,NA,NA,NA,NA,NA
2008,Maryland,All disabilities,91248,365,2264,40557,7375,40687,91248,NA,NA,NA,NA,NA,NA,NA,NA
2008,Massachusetts,Mental retardation,10914,NA,NA,NA,NA,NA,NA,3364,50,254,1855,23,5189,179,10914
2008,Massachusetts,Hearing impairments,1031,NA,NA,NA,NA,NA,NA,173,NA,62,NA,NA,669,11,1031
2008,Massachusetts,Speech or language impairments,23996,NA,NA,NA,NA,NA,NA,4400,NA,980,2198,NA,15817,492,23996
2008,Massachusetts,Visual impairments,495,NA,NA,NA,NA,NA,NA,NA,NA,25,53,0,NA,NA,495
2008,Massachusetts,Emotional disturbance,13863,NA,NA,NA,NA,NA,NA,2669,61,162,2031,38,8551,351,13863
2008,Massachusetts,Orthopedic impairments,1398,NA,NA,NA,NA,NA,NA,163,NA,NA,NA,NA,1049,37,1398
2008,Massachusetts,Other health impairments,11381,NA,NA,NA,NA,NA,NA,1282,29,120,705,12,9019,214,11381
2008,Massachusetts,Specific learning disabilities,59739,NA,NA,NA,NA,NA,NA,10646,NA,1001,6790,NA,39969,1037,59739
2008,Massachusetts,Deaf-blindness,202,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,0,NA,NA,202
2008,Massachusetts,Multiple disabilities,4585,NA,NA,NA,NA,NA,NA,607,NA,111,388,NA,3390,63,4585
2008,Massachusetts,Autism,7871,NA,NA,NA,NA,NA,NA,607,NA,303,NA,27,6258,151,7871
2008,Massachusetts,Traumatic brain injury,6322,NA,NA,NA,NA,NA,NA,544,NA,134,344,NA,5173,100,6322
2008,Massachusetts,Developmental delay,10383,NA,NA,NA,NA,NA,NA,1792,26,286,885,22,7113,259,10383
2008,Massachusetts,All disabilities,152180,NA,NA,NA,NA,NA,NA,26365,NA,3473,16017,NA,102648,2903,152180
2008,Michigan,Mental retardation,21818,213,241,7757,878,12728,21817,NA,NA,NA,NA,NA,NA,NA,NA
2008,Michigan,Hearing impairments,2742,15,82,538,165,1942,2742,NA,NA,NA,NA,NA,NA,NA,NA
2008,Michigan,Speech or language impairments,42657,367,820,7228,1883,32357,42655,NA,NA,NA,NA,NA,NA,NA,NA
2008,Michigan,Visual impairments,786,6,23,150,33,574,786,NA,NA,NA,NA,NA,NA,NA,NA
2008,Michigan,Emotional disturbance,15895,199,99,3716,400,11481,15895,NA,NA,NA,NA,NA,NA,NA,NA
2008,Michigan,Orthopedic impairments,2791,17,58,749,122,1845,2791,NA,NA,NA,NA,NA,NA,NA,NA
2008,Michigan,Other health impairments,18700,215,160,2523,534,15267,18699,NA,NA,NA,NA,NA,NA,NA,NA
2008,Michigan,Specific learning disabilities,85370,1005,629,20878,4689,58168,85369,NA,NA,NA,NA,NA,NA,NA,NA
2008,Michigan,Deaf-blindness,10,0,0,NA,NA,8,10,NA,NA,NA,NA,NA,NA,NA,NA
2008,Michigan,Multiple disabilities,3037,23,64,654,149,2145,3035,NA,NA,NA,NA,NA,NA,NA,NA
2008,Michigan,Autism,11963,93,259,1678,304,9629,11963,NA,NA,NA,NA,NA,NA,NA,NA
2008,Michigan,Traumatic brain injury,624,6,12,NA,NA,445,624,NA,NA,NA,NA,NA,NA,NA,NA
2008,Michigan,Developmental delay,1563,13,36,403,108,1003,1563,NA,NA,NA,NA,NA,NA,NA,NA
2008,Michigan,All disabilities,207956,2174,2486,46410,9288,147599,207957,NA,NA,NA,NA,NA,NA,NA,NA
2008,Minnesota,Mental retardation,8777,351,342,1318,533,6233,8777,NA,NA,NA,NA,NA,NA,NA,NA
2008,Minnesota,Hearing impairments,2016,36,219,196,172,1393,2016,NA,NA,NA,NA,NA,NA,NA,NA
2008,Minnesota,Speech or language impairments,16461,472,933,1313,1018,12725,16461,NA,NA,NA,NA,NA,NA,NA,NA
2008,Minnesota,Visual impairments,356,NA,27,40,NA,261,356,NA,NA,NA,NA,NA,NA,NA,NA
2008,Minnesota,Emotional disturbance,16286,1070,213,3686,745,10572,16286,NA,NA,NA,NA,NA,NA,NA,NA
2008,Minnesota,Orthopedic impairments,1544,33,80,108,74,1249,1544,NA,NA,NA,NA,NA,NA,NA,NA
2008,Minnesota,Other health impairments,14981,500,248,1594,658,11981,14981,NA,NA,NA,NA,NA,NA,NA,NA
2008,Minnesota,Specific learning disabilities,30525,1136,1455,4450,3100,20384,30525,NA,NA,NA,NA,NA,NA,NA,NA
2008,Minnesota,Deaf-blindness,61,NA,NA,5,NA,48,61,NA,NA,NA,NA,NA,NA,NA,NA
2008,Minnesota,Multiple disabilities,914,32,44,101,66,671,914,NA,NA,NA,NA,NA,NA,NA,NA
2008,Minnesota,Autism,11084,150,448,728,366,9392,11084,NA,NA,NA,NA,NA,NA,NA,NA
2008,Minnesota,Traumatic brain injury,438,NA,NA,58,25,311,438,NA,NA,NA,NA,NA,NA,NA,NA
2008,Minnesota,Developmental delay,2187,110,79,279,231,1488,2187,NA,NA,NA,NA,NA,NA,NA,NA
2008,Minnesota,All disabilities,105630,3918,4114,13876,7014,76708,105630,NA,NA,NA,NA,NA,NA,NA,NA
2008,Mississippi,Mental retardation,4058,NA,NA,2833,36,1169,4058,NA,NA,NA,NA,NA,NA,NA,NA
2008,Mississippi,Hearing impairments,624,NA,NA,325,14,281,624,NA,NA,NA,NA,NA,NA,NA,NA
2008,Mississippi,Speech or language impairments,15909,24,88,5953,211,9633,15909,NA,NA,NA,NA,NA,NA,NA,NA
2008,Mississippi,Visual impairments,307,NA,NA,152,7,143,307,NA,NA,NA,NA,NA,NA,NA,NA
2008,Mississippi,Emotional disturbance,1826,NA,NA,902,18,893,1826,NA,NA,NA,NA,NA,NA,NA,NA
2008,Mississippi,Orthopedic impairments,479,NA,NA,216,10,248,479,NA,NA,NA,NA,NA,NA,NA,NA
2008,Mississippi,Other health impairments,5767,14,13,2886,63,2791,5767,NA,NA,NA,NA,NA,NA,NA,NA
2008,Mississippi,Specific learning disabilities,21966,46,36,13149,255,8480,21966,NA,NA,NA,NA,NA,NA,NA,NA
2008,Mississippi,Deaf-blindness,12,0,0,NA,NA,7,12,NA,NA,NA,NA,NA,NA,NA,NA
2008,Mississippi,Multiple disabilities,733,NA,NA,381,NA,337,733,NA,NA,NA,NA,NA,NA,NA,NA
2008,Mississippi,Autism,1332,5,13,593,20,701,1332,NA,NA,NA,NA,NA,NA,NA,NA
2008,Mississippi,Traumatic brain injury,151,0,NA,NA,NA,72,151,NA,NA,NA,NA,NA,NA,NA,NA
2008,Mississippi,Developmental delay,2275,NA,NA,1236,36,984,2275,NA,NA,NA,NA,NA,NA,NA,NA
2008,Mississippi,All disabilities,55439,112,199,28706,683,25739,55439,NA,NA,NA,NA,NA,NA,NA,NA
2008,Missouri,Mental retardation,10704,53,116,3260,276,6999,10704,NA,NA,NA,NA,NA,NA,NA,NA
2008,Missouri,Hearing impairments,1240,6,38,220,53,923,1240,NA,NA,NA,NA,NA,NA,NA,NA
2008,Missouri,Speech or language impairments,32017,149,483,4849,948,25588,32017,NA,NA,NA,NA,NA,NA,NA,NA
2008,Missouri,Visual impairments,486,NA,NA,82,20,374,486,NA,NA,NA,NA,NA,NA,NA,NA
2008,Missouri,Emotional disturbance,7457,56,23,2304,120,4954,7457,NA,NA,NA,NA,NA,NA,NA,NA
2008,Missouri,Orthopedic impairments,548,0,7,85,16,440,548,NA,NA,NA,NA,NA,NA,NA,NA
2008,Missouri,Other health impairments,17121,99,90,2778,293,13861,17121,NA,NA,NA,NA,NA,NA,NA,NA
2008,Missouri,Specific learning disabilities,40058,246,260,9166,1177,29209,40058,NA,NA,NA,NA,NA,NA,NA,NA
2008,Missouri,Deaf-blindness,30,NA,0,6,NA,20,30,NA,NA,NA,NA,NA,NA,NA,NA
2008,Missouri,Multiple disabilities,1507,8,22,366,38,1073,1507,NA,NA,NA,NA,NA,NA,NA,NA
2008,Missouri,Autism,5589,27,131,836,118,4477,5589,NA,NA,NA,NA,NA,NA,NA,NA
2008,Missouri,Traumatic brain injury,456,NA,NA,99,NA,345,456,NA,NA,NA,NA,NA,NA,NA,NA
2008,Missouri,Developmental delay,488,NA,NA,100,21,355,488,NA,NA,NA,NA,NA,NA,NA,NA
2008,Missouri,All disabilities,117701,654,1189,24151,3089,88618,117701,NA,NA,NA,NA,NA,NA,NA,NA
2008,Montana,Mental retardation,963,165,13,12,28,745,963,NA,NA,NA,NA,NA,NA,NA,NA
2008,Montana,Hearing impairments,150,9,NA,NA,8,129,150,NA,NA,NA,NA,NA,NA,NA,NA
2008,Montana,Speech or language impairments,3341,503,53,34,79,2672,3341,NA,NA,NA,NA,NA,NA,NA,NA
2008,Montana,Visual impairments,58,12,NA,0,NA,NA,58,NA,NA,NA,NA,NA,NA,NA,NA
2008,Montana,Emotional disturbance,933,135,NA,NA,31,748,933,NA,NA,NA,NA,NA,NA,NA,NA
2008,Montana,Orthopedic impairments,68,6,NA,NA,NA,54,68,NA,NA,NA,NA,NA,NA,NA,NA
2008,Montana,Other health impairments,1697,152,10,30,45,1460,1697,NA,NA,NA,NA,NA,NA,NA,NA
2008,Montana,Specific learning disabilities,7454,1288,52,91,240,5783,7454,NA,NA,NA,NA,NA,NA,NA,NA
2008,Montana,Deaf-blindness,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,Montana,Multiple disabilities,527,60,NA,NA,13,444,527,NA,NA,NA,NA,NA,NA,NA,NA
2008,Montana,Autism,441,31,7,NA,NA,392,441,NA,NA,NA,NA,NA,NA,NA,NA
2008,Montana,Traumatic brain injury,NA,NA,0,NA,0,47,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,Montana,Developmental delay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,Montana,All disabilities,15691,2370,146,201,454,12520,15691,NA,NA,NA,NA,NA,NA,NA,NA
2008,Nebraska,Mental retardation,4674,141,49,549,620,3315,4674,NA,NA,NA,NA,NA,NA,NA,NA
2008,Nebraska,Hearing impairments,600,11,16,53,82,438,600,NA,NA,NA,NA,NA,NA,NA,NA
2008,Nebraska,Speech or language impairments,9723,187,192,638,1171,7535,9723,NA,NA,NA,NA,NA,NA,NA,NA
2008,Nebraska,Visual impairments,191,NA,NA,7,12,161,191,NA,NA,NA,NA,NA,NA,NA,NA
2008,Nebraska,Emotional disturbance,2028,81,17,401,133,1396,2028,NA,NA,NA,NA,NA,NA,NA,NA
2008,Nebraska,Orthopedic impairments,309,5,8,18,17,261,309,NA,NA,NA,NA,NA,NA,NA,NA
2008,Nebraska,Other health impairments,5173,123,42,564,318,4126,5173,NA,NA,NA,NA,NA,NA,NA,NA
2008,Nebraska,Specific learning disabilities,13670,445,144,1416,1959,9706,13670,NA,NA,NA,NA,NA,NA,NA,NA
2008,Nebraska,Deaf-blindness,11,0,0,0,0,11,11,NA,NA,NA,NA,NA,NA,NA,NA
2008,Nebraska,Multiple disabilities,372,9,6,21,41,295,372,NA,NA,NA,NA,NA,NA,NA,NA
2008,Nebraska,Autism,1454,10,35,84,92,1233,1454,NA,NA,NA,NA,NA,NA,NA,NA
2008,Nebraska,Traumatic brain injury,214,NA,NA,17,25,169,214,NA,NA,NA,NA,NA,NA,NA,NA
2008,Nebraska,Developmental delay,1097,55,16,54,142,830,1097,NA,NA,NA,NA,NA,NA,NA,NA
2008,Nebraska,All disabilities,39516,1072,534,3822,4612,29476,39516,NA,NA,NA,NA,NA,NA,NA,NA
2008,Nevada,Mental retardation,1866,48,115,331,684,688,1866,NA,NA,NA,NA,NA,NA,NA,NA
2008,Nevada,Hearing impairments,512,5,49,35,209,214,512,NA,NA,NA,NA,NA,NA,NA,NA
2008,Nevada,Speech or language impairments,6382,160,350,563,1945,3364,6382,NA,NA,NA,NA,NA,NA,NA,NA
2008,Nevada,Visual impairments,162,NA,NA,22,NA,76,162,NA,NA,NA,NA,NA,NA,NA,NA
2008,Nevada,Emotional disturbance,2034,50,37,443,276,1228,2034,NA,NA,NA,NA,NA,NA,NA,NA
2008,Nevada,Orthopedic impairments,309,NA,NA,37,91,163,309,NA,NA,NA,NA,NA,NA,NA,NA
2008,Nevada,Other health impairments,3080,59,76,460,522,1963,3080,NA,NA,NA,NA,NA,NA,NA,NA
2008,Nevada,Specific learning disabilities,24248,629,766,4327,8840,9686,24248,NA,NA,NA,NA,NA,NA,NA,NA
2008,Nevada,Deaf-blindness,9,NA,NA,0,NA,5,9,NA,NA,NA,NA,NA,NA,NA,NA
2008,Nevada,Multiple disabilities,1034,12,76,153,330,463,1034,NA,NA,NA,NA,NA,NA,NA,NA
2008,Nevada,Autism,2340,34,206,248,501,1351,2340,NA,NA,NA,NA,NA,NA,NA,NA
2008,Nevada,Traumatic brain injury,182,NA,NA,26,64,82,182,NA,NA,NA,NA,NA,NA,NA,NA
2008,Nevada,Developmental delay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,Nevada,All disabilities,42158,1008,1702,6645,13520,19283,42158,NA,NA,NA,NA,NA,NA,NA,NA
2008,New Hampshire,Mental retardation,821,NA,NA,35,35,738,821,NA,NA,NA,NA,NA,NA,NA,NA
2008,New Hampshire,Hearing impairments,221,0,NA,NA,11,200,221,NA,NA,NA,NA,NA,NA,NA,NA
2008,New Hampshire,Speech or language impairments,4009,10,67,78,123,3731,4009,NA,NA,NA,NA,NA,NA,NA,NA
2008,New Hampshire,Visual impairments,91,0,NA,NA,NA,82,91,NA,NA,NA,NA,NA,NA,NA,NA
2008,New Hampshire,Emotional disturbance,2359,NA,NA,50,47,2249,2359,NA,NA,NA,NA,NA,NA,NA,NA
2008,New Hampshire,Orthopedic impairments,92,NA,NA,NA,0,88,92,NA,NA,NA,NA,NA,NA,NA,NA
2008,New Hampshire,Other health impairments,4823,8,25,105,104,4581,4823,NA,NA,NA,NA,NA,NA,NA,NA
2008,New Hampshire,Specific learning disabilities,11988,26,77,246,414,11225,11988,NA,NA,NA,NA,NA,NA,NA,NA
2008,New Hampshire,Deaf-blindness,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,New Hampshire,Multiple disabilities,377,NA,NA,7,13,352,377,NA,NA,NA,NA,NA,NA,NA,NA
2008,New Hampshire,Autism,1218,5,20,14,22,1157,1218,NA,NA,NA,NA,NA,NA,NA,NA
2008,New Hampshire,Traumatic brain injury,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,New Hampshire,Developmental delay,1207,NA,NA,38,42,1098,1207,NA,NA,NA,NA,NA,NA,NA,NA
2008,New Hampshire,All disabilities,27265,61,246,588,816,25554,27265,NA,NA,NA,NA,NA,NA,NA,NA
2008,New Jersey,Mental retardation,6312,NA,NA,NA,NA,NA,NA,1936,NA,230,2374,NA,1738,NA,6312
