year,state,disability,total_6to21,hisp7,aian7,asian7,black7,nhpi7,white7,tworace7,total_ethnicity7
2011,Maine,Autism,2372,36,24,NA,50,NA,2206,31,2372
2011,Maine,Traumatic brain injury,55,0,0,0,NA,0,51,NA,NA
2011,Maine,Developmental delay,NA,NA,0,NA,NA,0,49,0,NA
2011,Maine,All disabilities,28247,550,373,232,778,25,25991,298,28247
2011,Maryland,Intellectual disabilities,5183,442,NA,147,2856,NA,1620,105,5183
2011,Maryland,Hearing impairments,985,114,NA,77,280,NA,493,18,985
2011,Maryland,Speech or language impairments,14353,1747,38,585,4742,15,6743,483,14353
2011,Maryland,Visual impairments,279,27,0,24,NA,0,110,NA,279
2011,Maryland,Emotional disturbance,7172,279,NA,51,4195,NA,2412,197,7172
2011,Maryland,Orthopedic impairments,292,34,NA,13,126,0,109,NA,292
2011,Maryland,Other health impairments,15894,1228,57,230,7138,12,6740,489,15894
2011,Maryland,Specific learning disabilities,31902,4516,106,464,14587,27,11352,850,31902
2011,Maryland,Deaf-blindness,17,NA,0,0,NA,0,12,NA,17
2011,Maryland,Multiple disabilities,3417,255,NA,98,1260,NA,1671,120,3417
2011,Maryland,Autism,8444,620,NA,488,2846,NA,4176,286,8444
2011,Maryland,Traumatic brain injury,250,NA,NA,7,109,NA,106,7,250
2011,Maryland,Developmental delay,2261,419,NA,119,1016,NA,612,85,2261
2011,Maryland,All disabilities,90449,9701,295,2303,39266,69,36156,2659,90449
2011,Massachusetts,Intellectual disabilities,10124,3309,43,294,1636,17,4641,184,10124
2011,Massachusetts,Hearing impairments,1052,204,NA,70,105,NA,646,19,1052
2011,Massachusetts,Speech or language impairments,25053,5544,74,1152,2356,18,15298,611,25053
2011,Massachusetts,Visual impairments,507,76,NA,27,58,0,334,NA,507
2011,Massachusetts,Emotional disturbance,13838,3008,47,173,1845,18,8271,476,13838
2011,Massachusetts,Orthopedic impairments,1224,189,NA,29,112,0,868,NA,1224
2011,Massachusetts,Other health impairments,15188,2126,51,177,1005,11,11456,362,15188
2011,Massachusetts,Specific learning disabilities,48355,9807,163,789,5179,39,31272,1106,48355
2011,Massachusetts,Deaf-blindness,141,27,NA,8,14,0,90,NA,141
2011,Massachusetts,Multiple disabilities,4512,691,13,101,333,10,3276,88,4512
2011,Massachusetts,Autism,10991,1031,14,474,739,17,8445,271,10991
2011,Massachusetts,Traumatic brain injury,7780,873,NA,192,575,NA,5937,175,7780
2011,Massachusetts,Developmental delay,10980,2158,32,301,1057,13,7064,355,10980
2011,Massachusetts,All disabilities,149745,29043,465,3787,15014,154,97598,3684,149745
2011,Michigan,Intellectual disabilities,19164,1019,179,211,6253,15,11169,318,19164
2011,Michigan,Hearing impairments,2508,194,NA,73,474,NA,1712,43,2508
2011,Michigan,Speech or language impairments,39469,2563,390,780,6436,31,28297,972,39469
2011,Michigan,Visual impairments,736,44,7,26,143,0,500,16,736
2011,Michigan,Emotional disturbance,13353,507,147,64,2967,9,9315,344,13353
2011,Michigan,Orthopedic impairments,2040,94,NA,48,344,NA,1494,37,2040
2011,Michigan,Other health impairments,19383,803,222,158,3226,10,14453,511,19383
2011,Michigan,Specific learning disabilities,72979,5161,852,454,17862,43,47061,1546,72979
2011,Michigan,Deaf-blindness,14,NA,0,NA,0,0,10,0,NA
2011,Michigan,Multiple disabilities,2853,170,NA,55,629,NA,1945,37,2853
2011,Michigan,Autism,14135,514,119,322,2097,8,10840,235,14135
2011,Michigan,Traumatic brain injury,578,NA,NA,NA,142,NA,368,17,NA
2011,Michigan,Developmental delay,1736,134,NA,40,382,NA,1111,47,1736
2011,Michigan,All disabilities,188948,11243,1987,2241,40955,124,128275,4123,188948
2011,Minnesota,Intellectual disabilities,8247,601,280,338,1295,7,5575,151,8247
2011,Minnesota,Hearing impairments,2025,199,NA,244,180,NA,1352,25,2025
2011,Minnesota,Speech or language impairments,16337,1259,361,959,1176,14,12147,421,16337
2011,Minnesota,Visual impairments,347,22,NA,26,NA,0,250,NA,347
2011,Minnesota,Emotional disturbance,14953,842,806,173,3166,14,9357,595,14953
2011,Minnesota,Orthopedic impairments,1525,100,28,91,123,NA,1155,NA,1525
2011,Minnesota,Other health impairments,16471,922,470,271,1842,12,12495,459,16471
2011,Minnesota,Specific learning disabilities,30220,3957,1001,1515,4459,18,18610,660,30220
2011,Minnesota,Deaf-blindness,57,7,NA,NA,NA,0,44,0,57
2011,Minnesota,Multiple disabilities,1239,96,29,60,167,NA,867,NA,1239
2011,Minnesota,Autism,13817,630,208,576,967,16,11133,287,13817
2011,Minnesota,Traumatic brain injury,426,26,12,NA,60,0,305,NA,426
2011,Minnesota,Developmental delay,2328,285,96,88,262,0,1473,124,2328
2011,Minnesota,All disabilities,107992,8946,3326,4360,13733,87,74763,2777,107992
2011,Mississippi,Intellectual disabilities,3566,39,8,15,2461,0,1036,NA,NA
2011,Mississippi,Hearing impairments,658,22,NA,9,314,0,309,NA,658
2011,Mississippi,Speech or language impairments,15610,282,NA,88,5962,NA,9137,112,15610
2011,Mississippi,Visual impairments,320,NA,NA,NA,168,0,143,NA,320
2011,Mississippi,Emotional disturbance,3135,23,NA,NA,1711,0,1374,16,3135
2011,Mississippi,Orthopedic impairments,469,11,NA,7,201,0,246,NA,469
2011,Mississippi,Other health impairments,7327,80,20,NA,3913,NA,3271,27,7327
2011,Mississippi,Specific learning disabilities,15205,295,45,27,8275,0,6513,50,15205
2011,Mississippi,Deaf-blindness,11,0,0,0,NA,0,9,0,NA
2011,Mississippi,Multiple disabilities,947,19,0,NA,482,0,436,NA,947
2011,Mississippi,Autism,2553,44,8,30,961,0,1502,8,2553
2011,Mississippi,Traumatic brain injury,146,NA,0,NA,NA,0,75,NA,146
2011,Mississippi,Developmental delay,3889,85,9,23,2164,0,1581,27,3889
2011,Mississippi,All disabilities,53836,909,127,224,26679,9,25632,256,53836
2011,Missouri,Intellectual disabilities,10080,365,60,87,2987,12,6450,119,10080
2011,Missouri,Hearing impairments,1132,49,NA,33,181,NA,845,18,1132
2011,Missouri,Speech or language impairments,28846,1157,141,425,4120,27,22479,497,28846
2011,Missouri,Visual impairments,471,22,NA,8,NA,NA,357,16,471
2011,Missouri,Emotional disturbance,6347,150,36,NA,1756,NA,4257,124,6347
2011,Missouri,Orthopedic impairments,527,27,NA,12,71,0,406,NA,527
2011,Missouri,Other health impairments,19163,479,114,102,3173,8,14975,312,19163
2011,Missouri,Specific learning disabilities,32334,1356,208,181,6905,42,23205,437,32334
2011,Missouri,Deaf-blindness,21,NA,NA,0,NA,0,14,0,NA
2011,Missouri,Multiple disabilities,1462,40,5,25,358,0,1015,19,1462
2011,Missouri,Autism,7561,250,36,159,1112,6,5882,116,7561
2011,Missouri,Traumatic brain injury,446,NA,NA,NA,90,NA,327,NA,NA
2011,Missouri,Developmental delay,701,33,NA,14,172,NA,460,17,701
2011,Missouri,All disabilities,109091,3945,615,1072,20993,101,80672,1693,109091
2011,Montana,Intellectual disabilities,552,19,123,NA,7,NA,387,10,552
2011,Montana,Hearing impairments,69,NA,8,NA,NA,NA,53,NA,69
2011,Montana,Speech or language impairments,2870,121,473,26,20,10,2173,47,2870
2011,Montana,Visual impairments,50,NA,8,NA,NA,0,35,NA,50
2011,Montana,Emotional disturbance,683,30,94,NA,NA,NA,516,22,683
2011,Montana,Orthopedic impairments,47,NA,NA,0,0,0,44,0,NA
2011,Montana,Other health impairments,1743,66,176,5,23,5,1444,24,1743
2011,Montana,Specific learning disabilities,4845,231,803,20,42,NA,3647,91,NA
2011,Montana,Deaf-blindness,NA,0,0,0,0,0,NA,0,NA
2011,Montana,Multiple disabilities,3027,129,458,18,49,10,2301,62,3027
2011,Montana,Autism,406,11,26,NA,NA,NA,351,7,406
2011,Montana,Traumatic brain injury,NA,NA,NA,NA,NA,0,NA,NA,NA
2011,Montana,Developmental delay,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,Montana,All disabilities,14336,614,2174,80,169,45,10986,268,14336
2011,Nebraska,Intellectual disabilities,3546,600,91,NA,379,NA,2347,95,3546
2011,Nebraska,Hearing impairments,571,92,12,NA,36,NA,400,19,571
2011,Nebraska,Speech or language impairments,9512,1397,153,158,598,9,6934,263,9512
2011,Nebraska,Visual impairments,207,23,NA,5,7,0,164,NA,207
2011,Nebraska,Emotional disturbance,1964,190,69,9,348,6,1237,105,1964
2011,Nebraska,Orthopedic impairments,241,22,NA,9,12,0,187,NA,241
2011,Nebraska,Other health impairments,5505,501,93,39,477,5,4159,231,5505
2011,Nebraska,Specific learning disabilities,14021,2793,368,132,1354,14,8898,462,14021
2011,Nebraska,Deaf-blindness,8,0,0,0,0,0,NA,0,NA
2011,Nebraska,Multiple disabilities,391,51,14,NA,32,0,276,12,NA
2011,Nebraska,Autism,2128,204,NA,48,119,NA,1667,64,2128
2011,Nebraska,Traumatic brain injury,204,27,NA,6,10,0,NA,NA,NA
2011,Nebraska,Developmental delay,1356,198,59,NA,46,NA,984,50,1356
2011,Nebraska,All disabilities,39654,6098,896,470,3418,42,27415,1315,39654
2011,Nevada,Intellectual disabilities,1934,804,37,91,308,16,615,63,1934
2011,Nevada,Hearing impairments,453,188,5,32,43,9,158,18,453
2011,Nevada,Speech or language impairments,6348,2054,145,218,524,59,3011,337,6348
2011,Nevada,Visual impairments,144,NA,NA,NA,15,NA,59,5,144
2011,Nevada,Emotional disturbance,1928,319,38,NA,409,13,1023,114,NA
2011,Nevada,Orthopedic impairments,291,99,NA,10,29,NA,140,8,291
2011,Nevada,Other health impairments,3676,814,65,50,495,22,2021,209,3676
2011,Nevada,Specific learning disabilities,22105,9260,512,354,3539,179,7437,824,22105
2011,Nevada,Deaf-blindness,5,NA,0,0,0,0,NA,0,NA
2011,Nevada,Multiple disabilities,1013,330,11,55,147,17,411,42,1013
2011,Nevada,Autism,3448,895,29,225,335,26,1764,174,3448
2011,Nevada,Traumatic brain injury,174,74,NA,8,29,NA,NA,5,174
2011,Nevada,Developmental delay,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,Nevada,All disabilities,41519,14893,853,1061,5873,345,16695,1799,41519
2011,New Hampshire,Intellectual disabilities,787,34,NA,8,33,NA,708,0,NA
2011,New Hampshire,Hearing impairments,215,16,0,7,NA,0,186,NA,215
2011,New Hampshire,Speech or language impairments,3648,121,9,75,75,7,3355,6,3648
2011,New Hampshire,Visual impairments,93,NA,0,NA,NA,0,88,0,93
2011,New Hampshire,Emotional disturbance,2263,64,NA,9,72,0,2109,NA,2263
2011,New Hampshire,Orthopedic impairments,77,NA,NA,NA,NA,0,71,0,77
2011,New Hampshire,Other health impairments,4906,155,8,30,128,NA,4576,NA,4906
2011,New Hampshire,Specific learning disabilities,10743,456,42,62,275,5,9889,14,10743
2011,New Hampshire,Deaf-blindness,7,0,0,0,0,0,NA,0,NA
2011,New Hampshire,Multiple disabilities,365,11,0,6,6,NA,340,NA,365
2011,New Hampshire,Autism,1703,31,NA,24,22,NA,1615,5,1703
2011,New Hampshire,Traumatic brain injury,64,NA,NA,0,NA,0,NA,0,NA
2011,New Hampshire,Developmental delay,1393,55,NA,22,46,0,1261,NA,1393
2011,New Hampshire,All disabilities,26264,950,74,247,667,20,24262,44,26264
2011,New Jersey,Intellectual disabilities,5194,1611,13,230,1739,5,1571,25,5194
2011,New Jersey,Hearing impairments,1477,378,NA,117,197,NA,767,11,1477
2011,New Jersey,Speech or language impairments,42687,9638,50,2718,6000,83,23896,302,42687
2011,New Jersey,Visual impairments,397,86,NA,NA,52,NA,230,NA,NA
2011,New Jersey,Emotional disturbance,8565,1550,14,140,2835,13,3939,74,8565
2011,New Jersey,Orthopedic impairments,574,117,NA,33,57,NA,363,NA,574
2011,New Jersey,Other health impairments,35423,5813,41,822,5906,34,22579,228,35423
2011,New Jersey,Specific learning disabilities,79454,18266,96,1776,15955,60,42850,451,79454
2011,New Jersey,Deaf-blindness,94,46,0,NA,12,NA,32,0,NA
2011,New Jersey,Multiple disabilities,18905,3817,28,632,5259,16,9026,127,18905
2011,New Jersey,Autism,13459,2060,17,1217,1877,25,8175,88,13459
2011,New Jersey,Traumatic brain injury,781,160,NA,35,220,NA,358,5,NA
2011,New Jersey,Developmental delay,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,New Jersey,All disabilities,207010,43542,265,7746,40109,246,113786,1316,207010
2011,New Mexico,Intellectual disabilities,1871,1135,245,NA,50,NA,399,21,1871
2011,New Mexico,Hearing impairments,514,272,66,7,15,0,146,8,514
2011,New Mexico,Speech or language impairments,9790,5903,963,88,182,6,2526,122,9790
2011,New Mexico,Visual impairments,191,110,24,0,NA,0,48,NA,191
2011,New Mexico,Emotional disturbance,2059,1048,209,NA,82,NA,677,38,NA
2011,New Mexico,Orthopedic impairments,253,152,17,NA,NA,0,72,NA,253
2011,New Mexico,Other health impairments,3445,1807,250,NA,96,NA,1238,35,3445
2011,New Mexico,Specific learning disabilities,18098,11262,2348,72,473,5,3754,184,18098
2011,New Mexico,Deaf-blindness,7,5,0,0,0,0,NA,0,NA
2011,New Mexico,Multiple disabilities,847,482,104,10,11,NA,234,NA,847
2011,New Mexico,Autism,1596,689,88,24,37,0,712,46,1596
2011,New Mexico,Traumatic brain injury,190,108,29,NA,NA,0,NA,NA,190
2011,New Mexico,Developmental delay,2673,1426,548,13,51,0,612,23,2673
2011,New Mexico,All disabilities,41534,24399,4891,259,1010,17,10467,491,41534
2011,New York,Intellectual disabilities,11545,3182,98,556,3522,17,4124,46,11545
2011,New York,Hearing impairments,4291,1278,22,397,742,8,1820,24,4291
2011,New York,Speech or language impairments,86049,32110,554,4380,18546,100,29819,540,86049
2011,New York,Visual impairments,1243,279,NA,70,223,NA,651,NA,1243
2011,New York,Emotional disturbance,29484,6848,214,393,11829,21,9930,249,29484
2011,New York,Orthopedic impairments,1866,408,22,109,414,NA,907,NA,1866
2011,New York,Other health impairments,58367,8157,306,1100,9111,34,39118,541,58367
2011,New York,Specific learning disabilities,154533,43193,1056,4411,37325,129,67537,882,154533
2011,New York,Deaf-blindness,17,5,0,0,0,NA,11,0,NA
2011,New York,Multiple disabilities,17291,3097,105,637,3462,27,9863,100,17291
2011,New York,Autism,22427,3866,135,1094,4042,64,13075,151,22427
2011,New York,Traumatic brain injury,1124,187,NA,44,222,NA,657,7,NA
2011,New York,Developmental delay,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,New York,All disabilities,388237,102610,2525,13191,89438,408,177512,2553,388237
2011,North Carolina,Intellectual disabilities,18317,1608,601,155,8979,11,6547,416,18317
2011,North Carolina,Hearing impairments,1934,334,NA,45,554,NA,908,63,1934
2011,North Carolina,Speech or language impairments,21893,2378,576,333,5117,12,12764,713,21893
2011,North Carolina,Visual impairments,636,66,NA,14,205,NA,321,22,636
2011,North Carolina,Emotional disturbance,6303,266,74,NA,3129,NA,2547,276,NA
2011,North Carolina,Orthopedic impairments,864,90,8,16,177,0,550,23,864
2011,North Carolina,Other health impairments,31445,1668,366,142,9817,16,18107,1329,31445
2011,North Carolina,Specific learning disabilities,67177,9804,1157,545,22044,43,31381,2203,67177
2011,North Carolina,Deaf-blindness,34,5,0,0,5,0,22,NA,NA
2011,North Carolina,Multiple disabilities,2287,244,NA,29,685,NA,1244,54,2287
2011,North Carolina,Autism,11774,859,72,267,3027,9,7101,439,11774
2011,North Carolina,Traumatic brain injury,426,44,NA,NA,149,0,207,NA,NA
2011,North Carolina,Developmental delay,5890,839,NA,69,2085,NA,2620,217,5890
2011,North Carolina,All disabilities,168980,18205,2974,1630,55973,104,84319,5775,168980
2011,North Dakota,Intellectual disabilities,748,24,83,7,31,NA,596,NA,748
2011,North Dakota,Hearing impairments,94,5,12,NA,NA,NA,72,0,94
2011,North Dakota,Speech or language impairments,2392,87,323,18,52,10,1876,26,2392
2011,North Dakota,Visual impairments,NA,NA,NA,0,0,0,NA,0,NA
2011,North Dakota,Emotional disturbance,804,21,95,NA,42,NA,626,17,NA
2011,North Dakota,Orthopedic impairments,90,5,NA,NA,0,0,81,0,90
2011,North Dakota,Other health impairments,1662,56,125,6,46,5,1407,17,1662
2011,North Dakota,Specific learning disabilities,4019,152,437,14,108,NA,3273,32,NA
2011,North Dakota,Deaf-blindness,NA,0,0,0,0,0,NA,0,NA
2011,North Dakota,Multiple disabilities,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,North Dakota,Autism,652,15,29,NA,18,0,581,NA,652
2011,North Dakota,Traumatic brain injury,54,NA,6,NA,NA,0,44,0,NA
2011,North Dakota,Developmental delay,736,28,138,NA,27,NA,526,9,736
2011,North Dakota,All disabilities,11302,396,1256,62,328,24,9127,109,11302
2011,Northern Marianas,Intellectual disabilities,60,NA,0,8,0,45,0,NA,60
2011,Northern Marianas,Hearing impairments,19,0,0,NA,0,NA,0,NA,19
2011,Northern Marianas,Speech or language impairments,39,0,0,15,0,NA,NA,NA,39
2011,Northern Marianas,Visual impairments,NA,0,0,0,0,NA,0,NA,NA
2011,Northern Marianas,Emotional disturbance,NA,0,0,NA,0,6,NA,NA,NA
2011,Northern Marianas,Orthopedic impairments,NA,0,0,NA,0,NA,0,0,NA
2011,Northern Marianas,Other health impairments,NA,0,0,21,0,54,NA,NA,NA
2011,Northern Marianas,Specific learning disabilities,456,0,0,49,0,NA,NA,88,NA
2011,Northern Marianas,Deaf-blindness,NA,0,0,0,0,0,0,NA,NA
2011,Northern Marianas,Multiple disabilities,27,0,0,NA,0,NA,0,NA,27
2011,Northern Marianas,Autism,70,0,0,27,0,NA,0,NA,70
2011,Northern Marianas,Traumatic brain injury,NA,0,0,0,0,NA,0,0,NA
2011,Northern Marianas,Developmental delay,40,NA,0,NA,0,19,0,6,40
2011,Northern Marianas,All disabilities,827,0,0,157,0,513,5,152,827
2011,Ohio,Intellectual disabilities,24446,765,48,102,7052,7,15509,963,24446
2011,Ohio,Hearing impairments,2191,107,NA,40,360,NA,1596,83,2191
2011,Ohio,Speech or language impairments,28413,998,44,342,3504,9,22407,1109,28413
2011,Ohio,Visual impairments,934,NA,0,29,122,0,721,NA,NA
2011,Ohio,Emotional disturbance,16013,421,26,39,5065,5,9546,911,16013
2011,Ohio,Orthopedic impairments,1602,46,NA,NA,245,0,1223,60,1602
2011,Ohio,Other health impairments,31680,971,53,179,5053,8,23986,1430,31680
2011,Ohio,Specific learning disabilities,98904,3798,194,439,18928,25,71449,4071,98904
2011,Ohio,Deaf-blindness,49,NA,0,0,5,0,39,NA,NA
2011,Ohio,Multiple disabilities,13284,400,19,120,2607,7,9663,468,13284
2011,Ohio,Autism,16278,422,24,249,1940,5,13010,628,16278
2011,Ohio,Traumatic brain injury,1366,39,NA,NA,258,NA,993,58,NA
2011,Ohio,Developmental delay,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,Ohio,All disabilities,235160,7999,414,1581,45139,69,170142,9816,235160
2011,Oklahoma,Intellectual disabilities,5403,626,895,56,999,9,2670,148,5403
2011,Oklahoma,Hearing impairments,999,132,122,27,94,0,584,40,999
2011,Oklahoma,Speech or language impairments,9869,915,1781,148,763,13,5974,275,9869
2011,Oklahoma,Visual impairments,483,35,70,NA,35,NA,321,12,483
2011,Oklahoma,Emotional disturbance,4355,205,660,NA,706,NA,2616,151,4355
2011,Oklahoma,Orthopedic impairments,403,46,NA,NA,39,0,251,NA,403
2011,Oklahoma,Other health impairments,12402,680,1983,51,1246,11,8048,383,12402
2011,Oklahoma,Specific learning disabilities,40526,4895,7463,214,5557,40,21336,1021,40526
2011,Oklahoma,Deaf-blindness,11,0,NA,0,0,0,NA,0,11
2011,Oklahoma,Multiple disabilities,1524,134,250,NA,163,NA,919,36,1524
2011,Oklahoma,Autism,3386,210,456,NA,293,NA,2247,103,3386
2011,Oklahoma,Traumatic brain injury,257,25,55,NA,33,0,NA,NA,257
2011,Oklahoma,Developmental delay,10862,1044,1727,98,911,30,6586,466,10862
2011,Oklahoma,All disabilities,90480,8947,15512,714,10839,113,51696,2659,90480
2011,Oregon,Intellectual disabilities,3830,764,108,80,168,18,2579,113,3830
2011,Oregon,Hearing impairments,810,235,17,51,38,15,434,20,810
2011,Oregon,Speech or language impairments,16206,3920,361,570,515,107,10157,576,16206
2011,Oregon,Visual impairments,313,62,NA,11,10,NA,211,9,313
2011,Oregon,Emotional disturbance,4567,520,135,49,288,15,3344,216,4567
2011,Oregon,Orthopedic impairments,738,133,NA,30,24,NA,514,19,738
2011,Oregon,Other health impairments,10356,1346,253,139,517,37,7631,433,10356
2011,Oregon,Specific learning disabilities,27087,7047,740,320,972,NA,17038,855,NA
2011,Oregon,Deaf-blindness,12,NA,0,NA,0,0,7,0,NA
2011,Oregon,Multiple disabilities,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,Oregon,Autism,7618,909,126,287,167,26,5783,320,7618
2011,Oregon,Traumatic brain injury,268,NA,8,NA,12,NA,181,11,268
2011,Oregon,Developmental delay,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,Oregon,All disabilities,71805,14990,1769,1543,2711,341,47879,2572,71805
2011,Pennsylvania,Intellectual disabilities,18702,1628,NA,280,4623,NA,12033,110,18702
2011,Pennsylvania,Hearing impairments,2621,218,NA,84,376,NA,1922,15,2621
2011,Pennsylvania,Speech or language impairments,39517,2463,73,834,4499,14,31223,411,39517
2011,Pennsylvania,Visual impairments,1082,82,NA,27,181,NA,777,9,1082
2011,Pennsylvania,Emotional disturbance,23068,1774,NA,103,6059,NA,14773,290,23068
2011,Pennsylvania,Orthopedic impairments,739,76,0,15,137,NA,508,NA,739
2011,Pennsylvania,Other health impairments,26772,2115,52,229,3949,10,20154,263,26772
2011,Pennsylvania,Specific learning disabilities,125624,13236,221,1214,24595,28,85351,979,125624
2011,Pennsylvania,Deaf-blindness,74,NA,0,NA,12,NA,56,0,74
2011,Pennsylvania,Multiple disabilities,2896,286,NA,59,455,NA,2069,23,2896
2011,Pennsylvania,Autism,20372,1138,36,513,2742,15,15764,164,20372
2011,Pennsylvania,Traumatic brain injury,678,44,NA,10,88,0,532,NA,678
2011,Pennsylvania,Developmental delay,96,NA,0,NA,23,0,60,NA,96
2011,Pennsylvania,All disabilities,262241,23071,489,3371,47739,76,185222,2273,262241
2011,Puerto Rico,Intellectual disabilities,8418,8404,NA,NA,NA,0,NA,0,8418
2011,Puerto Rico,Hearing impairments,726,NA,0,0,NA,0,0,0,726
2011,Puerto Rico,Speech or language impairments,27419,27376,12,5,10,0,16,0,27419
2011,Puerto Rico,Visual impairments,613,NA,0,0,0,0,NA,0,613
2011,Puerto Rico,Emotional disturbance,1376,1374,0,NA,NA,0,0,0,1376
2011,Puerto Rico,Orthopedic impairments,383,NA,NA,0,0,0,0,0,383
2011,Puerto Rico,Other health impairments,10967,10943,NA,7,NA,0,10,0,10967
2011,Puerto Rico,Specific learning disabilities,60929,60784,35,34,23,0,53,0,60929
2011,Puerto Rico,Deaf-blindness,36,NA,0,0,0,0,0,0,NA
2011,Puerto Rico,Multiple disabilities,1195,NA,0,0,NA,0,0,0,1195
2011,Puerto Rico,Autism,2413,2406,NA,NA,NA,0,NA,0,2413
2011,Puerto Rico,Traumatic brain injury,48,NA,0,0,0,0,0,0,NA
2011,Puerto Rico,Developmental delay,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,Puerto Rico,All disabilities,114523,114283,57,53,46,0,84,0,114523
2011,Rhode Island,Intellectual disabilities,848,220,NA,15,109,NA,472,21,NA
2011,Rhode Island,Hearing impairments,148,38,NA,5,12,0,90,NA,148
2011,Rhode Island,Speech or language impairments,3061,722,NA,71,224,NA,1939,81,3061
2011,Rhode Island,Visual impairments,56,9,0,NA,NA,0,38,NA,56
2011,Rhode Island,Emotional disturbance,2126,421,35,14,334,7,1249,66,2126
2011,Rhode Island,Orthopedic impairments,64,7,NA,NA,5,0,45,NA,64
2011,Rhode Island,Other health impairments,3527,547,34,NA,278,NA,2552,90,3527
2011,Rhode Island,Specific learning disabilities,8605,2374,94,113,939,10,4863,212,8605
2011,Rhode Island,Deaf-blindness,NA,0,0,0,0,0,NA,0,NA
2011,Rhode Island,Multiple disabilities,343,61,NA,10,16,0,247,NA,343
2011,Rhode Island,Autism,1822,194,NA,36,99,NA,1444,37,1822
2011,Rhode Island,Traumatic brain injury,NA,10,0,NA,NA,NA,NA,0,NA
2011,Rhode Island,Developmental delay,1183,312,NA,21,113,NA,679,35,1183
2011,Rhode Island,All disabilities,21842,4915,237,319,2137,26,13659,549,21842
2011,South Carolina,Intellectual disabilities,7553,231,24,61,4700,5,2446,86,7553
2011,South Carolina,Hearing impairments,1022,67,NA,26,426,0,474,NA,1022
2011,South Carolina,Speech or language impairments,15229,818,51,156,5098,11,8674,421,15229
2011,South Carolina,Visual impairments,397,16,0,NA,132,0,235,NA,397
2011,South Carolina,Emotional disturbance,3056,66,8,6,1613,NA,1272,89,NA
2011,South Carolina,Orthopedic impairments,617,32,NA,NA,208,0,358,11,617
2011,South Carolina,Other health impairments,10428,280,NA,35,3647,NA,6171,258,10428
2011,South Carolina,Specific learning disabilities,41981,2267,179,146,18930,14,19580,865,41981
2011,South Carolina,Deaf-blindness,NA,0,0,0,NA,0,NA,0,NA
2011,South Carolina,Multiple disabilities,681,39,NA,5,191,NA,428,12,681
2011,South Carolina,Autism,3819,160,NA,65,1380,NA,2122,82,3819
2011,South Carolina,Traumatic brain injury,NA,8,0,0,NA,0,NA,8,NA
2011,South Carolina,Developmental delay,3790,239,NA,25,1844,NA,1564,108,3790
2011,South Carolina,All disabilities,88762,4223,324,539,38240,41,43426,1969,88762
2011,South Dakota,Intellectual disabilities,1422,74,255,NA,65,NA,983,25,1422
2011,South Dakota,Hearing impairments,128,13,21,NA,NA,0,85,NA,128
2011,South Dakota,Speech or language impairments,3156,132,482,NA,43,NA,2394,65,3156
2011,South Dakota,Visual impairments,NA,NA,NA,0,NA,0,NA,NA,NA
2011,South Dakota,Emotional disturbance,1134,48,170,NA,49,NA,842,21,1134
2011,South Dakota,Orthopedic impairments,63,NA,NA,NA,NA,0,51,NA,63
2011,South Dakota,Other health impairments,1799,61,239,NA,79,NA,1369,40,1799
2011,South Dakota,Specific learning disabilities,6246,284,1327,NA,159,NA,4355,83,6246
2011,South Dakota,Deaf-blindness,NA,0,0,0,0,0,NA,0,NA
2011,South Dakota,Multiple disabilities,509,19,95,6,20,0,362,7,509
2011,South Dakota,Autism,713,31,76,11,13,0,577,5,713
2011,South Dakota,Traumatic brain injury,66,NA,19,NA,NA,0,40,NA,66
2011,South Dakota,Developmental delay,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,South Dakota,All disabilities,15279,668,2692,124,439,10,11092,254,15279
2011,Tennessee,Intellectual disabilities,7445,318,11,62,2748,5,4279,22,7445
2011,Tennessee,Hearing impairments,1325,102,0,24,365,NA,825,NA,1325
2011,Tennessee,Speech or language impairments,26133,1383,65,320,5274,16,18867,208,26133
2011,Tennessee,Visual impairments,643,28,NA,12,131,0,469,NA,643
2011,Tennessee,Emotional disturbance,3220,79,14,NA,1116,NA,1978,24,3220
2011,Tennessee,Orthopedic impairments,676,31,NA,9,93,NA,536,NA,676
2011,Tennessee,Other health impairments,13452,310,26,48,2845,5,10104,114,13452
2011,Tennessee,Specific learning disabilities,44914,2324,104,191,13418,NA,28617,246,NA
2011,Tennessee,Deaf-blindness,9,0,NA,NA,NA,0,NA,0,NA
2011,Tennessee,Multiple disabilities,2060,96,NA,19,486,NA,1443,9,2060
2011,Tennessee,Autism,6010,236,NA,92,1053,NA,4579,33,6010
2011,Tennessee,Traumatic brain injury,283,16,0,NA,NA,0,NA,NA,283
2011,Tennessee,Developmental delay,4519,289,NA,60,1325,NA,2808,26,4519
2011,Tennessee,All disabilities,110689,5212,252,847,28918,52,74709,699,110689
