year,state,Ethnicity,disability,total_6to21,aian5,api5,black5,hisp5,white5,total_ethnicity5,hisp7,aian7,asian7,black7,nhpi7,white7,tworace7,total_ethnicity7
2009,Illinois,5,Traumatic brain injury,722,NA,NA,227,NA,356,722,NA,NA,NA,NA,NA,NA,NA,NA
2009,Illinois,5,Developmental delay,7503,14,248,1446,1437,4358,7503,NA,NA,NA,NA,NA,NA,NA,NA
2009,Illinois,5,All disabilities,276621,533,4979,65326,50648,155135,276621,NA,NA,NA,NA,NA,NA,NA,NA
2009,Indiana,5,Mental retardation,17970,63,100,4527,1034,12246,17970,NA,NA,NA,NA,NA,NA,NA,NA
2009,Indiana,5,Hearing impairments,2127,8,52,209,135,1723,2127,NA,NA,NA,NA,NA,NA,NA,NA
2009,Indiana,5,Speech or language impairments,34790,104,371,3116,1894,29305,34790,NA,NA,NA,NA,NA,NA,NA,NA
2009,Indiana,5,Visual impairments,885,NA,NA,107,49,712,885,NA,NA,NA,NA,NA,NA,NA,NA
2009,Indiana,5,Emotional disturbance,14028,63,20,2698,297,10950,14028,NA,NA,NA,NA,NA,NA,NA,NA
2009,Indiana,5,Orthopedic impairments,1487,NA,NA,127,78,1251,1487,NA,NA,NA,NA,NA,NA,NA,NA
2009,Indiana,5,Other health impairments,12764,46,56,1399,279,10984,12764,NA,NA,NA,NA,NA,NA,NA,NA
2009,Indiana,5,Specific learning disabilities,56892,196,194,7609,3312,45581,56892,NA,NA,NA,NA,NA,NA,NA,NA
2009,Indiana,5,Deaf-blindness,24,0,0,NA,0,23,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,Indiana,5,Multiple disabilities,1812,NA,NA,200,72,1524,1812,NA,NA,NA,NA,NA,NA,NA,NA
2009,Indiana,5,Autism,10196,24,125,876,334,8837,10196,NA,NA,NA,NA,NA,NA,NA,NA
2009,Indiana,5,Traumatic brain injury,518,NA,NA,NA,23,417,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,Indiana,5,Developmental delay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,Indiana,5,All disabilities,153493,514,976,20943,7507,123553,153493,NA,NA,NA,NA,NA,NA,NA,NA
2009,Iowa,7,Mental retardation,10402,NA,NA,NA,NA,NA,NA,837,86,94,936,10,8205,234,10402
2009,Iowa,7,Hearing impairments,425,NA,NA,NA,NA,NA,NA,34,NA,NA,39,0,334,10,425
2009,Iowa,7,Speech or language impairments,5206,NA,NA,NA,NA,NA,NA,419,43,47,468,5,4107,117,5206
2009,Iowa,7,Visual impairments,80,NA,NA,NA,NA,NA,NA,7,NA,NA,8,0,61,NA,80
2009,Iowa,7,Emotional disturbance,5884,NA,NA,NA,NA,NA,NA,474,49,53,530,5,4640,133,5884
2009,Iowa,7,Orthopedic impairments,680,NA,NA,NA,NA,NA,NA,55,NA,6,61,NA,536,15,680
2009,Iowa,7,Other health impairments,80,NA,NA,NA,NA,NA,NA,7,NA,NA,8,0,61,NA,80
2009,Iowa,7,Specific learning disabilities,36438,NA,NA,NA,NA,NA,NA,2930,302,327,3277,34,28748,820,36438
2009,Iowa,7,Deaf-blindness,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
2009,Iowa,7,Multiple disabilities,331,NA,NA,NA,NA,NA,NA,27,NA,NA,30,0,260,8,331
2009,Iowa,7,Autism,680,NA,NA,NA,NA,NA,NA,55,NA,NA,61,NA,536,15,680
2009,Iowa,7,Traumatic brain injury,163,NA,NA,NA,NA,NA,NA,14,NA,NA,15,0,127,NA,163
2009,Iowa,7,Developmental delay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,Iowa,7,All disabilities,60369,NA,NA,NA,NA,NA,NA,4859,502,544,5433,56,47615,1360,60369
2009,Kansas,7,Mental retardation,3745,NA,NA,NA,NA,NA,NA,514,60,NA,716,NA,2274,128,3745
2009,Kansas,7,Hearing impairments,555,NA,NA,NA,NA,NA,NA,92,NA,18,43,NA,384,14,555
2009,Kansas,7,Speech or language impairments,8850,NA,NA,NA,NA,NA,NA,1067,125,160,469,14,6717,298,8850
2009,Kansas,7,Visual impairments,173,NA,NA,NA,NA,NA,NA,NA,NA,5,19,NA,116,NA,173
2009,Kansas,7,Emotional disturbance,2914,NA,NA,NA,NA,NA,NA,228,58,11,459,6,2010,142,2914
2009,Kansas,7,Orthopedic impairments,288,NA,NA,NA,NA,NA,NA,35,NA,NA,NA,0,228,9,288
2009,Kansas,7,Other health impairments,7005,NA,NA,NA,NA,NA,NA,539,105,34,672,7,5361,287,7005
2009,Kansas,7,Specific learning disabilities,23188,NA,NA,NA,NA,NA,NA,3905,464,239,2564,23,15208,785,23188
2009,Kansas,7,Deaf-blindness,19,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,13,NA,19
2009,Kansas,7,Multiple disabilities,2317,NA,NA,NA,NA,NA,NA,209,44,NA,239,NA,1727,75,2317
2009,Kansas,7,Autism,2143,NA,NA,NA,NA,NA,NA,182,NA,61,193,NA,1610,76,2143
2009,Kansas,7,Traumatic brain injury,186,NA,NA,NA,NA,NA,NA,24,NA,NA,18,NA,128,8,186
2009,Kansas,7,Developmental delay,4482,NA,NA,NA,NA,NA,NA,677,67,55,404,9,3098,172,4482
2009,Kansas,7,All disabilities,55865,NA,NA,NA,NA,NA,NA,7498,952,663,5806,70,38874,2002,55865
2009,Kentucky,5,Mental retardation,16087,22,42,2232,242,13549,16087,NA,NA,NA,NA,NA,NA,NA,NA
2009,Kentucky,5,Hearing impairments,623,NA,NA,54,27,531,623,NA,NA,NA,NA,NA,NA,NA,NA
2009,Kentucky,5,Speech or language impairments,20224,35,162,1735,476,17816,20224,NA,NA,NA,NA,NA,NA,NA,NA
2009,Kentucky,5,Visual impairments,484,0,NA,34,NA,441,484,NA,NA,NA,NA,NA,NA,NA,NA
2009,Kentucky,5,Emotional disturbance,5276,7,8,1233,65,3963,5276,NA,NA,NA,NA,NA,NA,NA,NA
2009,Kentucky,5,Orthopedic impairments,439,0,7,42,12,378,439,NA,NA,NA,NA,NA,NA,NA,NA
2009,Kentucky,5,Other health impairments,15505,24,48,2119,196,13118,15505,NA,NA,NA,NA,NA,NA,NA,NA
2009,Kentucky,5,Specific learning disabilities,13886,NA,31,1616,512,11697,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,Kentucky,5,Deaf-blindness,14,0,0,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,Kentucky,5,Multiple disabilities,3395,7,15,320,48,3005,3395,NA,NA,NA,NA,NA,NA,NA,NA
2009,Kentucky,5,Autism,3148,NA,NA,335,43,2725,3148,NA,NA,NA,NA,NA,NA,NA,NA
2009,Kentucky,5,Traumatic brain injury,242,0,NA,NA,NA,203,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,Kentucky,5,Developmental delay,7857,14,47,1094,197,6505,7857,NA,NA,NA,NA,NA,NA,NA,NA
2009,Kentucky,5,All disabilities,87180,145,415,10847,1831,73942,87180,NA,NA,NA,NA,NA,NA,NA,NA
2009,Louisiana,5,Mental retardation,7905,52,30,5189,93,2541,7905,NA,NA,NA,NA,NA,NA,NA,NA
2009,Louisiana,5,Hearing impairments,1175,10,13,487,43,622,1175,NA,NA,NA,NA,NA,NA,NA,NA
2009,Louisiana,5,Speech or language impairments,19022,173,201,7409,430,10809,19022,NA,NA,NA,NA,NA,NA,NA,NA
2009,Louisiana,5,Visual impairments,452,NA,NA,186,NA,250,452,NA,NA,NA,NA,NA,NA,NA,NA
2009,Louisiana,5,Emotional disturbance,2234,12,NA,1363,23,831,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,Louisiana,5,Orthopedic impairments,1093,15,7,426,28,617,1093,NA,NA,NA,NA,NA,NA,NA,NA
2009,Louisiana,5,Other health impairments,9484,59,32,3683,139,5571,9484,NA,NA,NA,NA,NA,NA,NA,NA
2009,Louisiana,5,Specific learning disabilities,24390,241,NA,13884,431,9753,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,Louisiana,5,Deaf-blindness,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,Louisiana,5,Multiple disabilities,945,10,9,418,13,495,945,NA,NA,NA,NA,NA,NA,NA,NA
2009,Louisiana,5,Autism,2793,NA,NA,1096,53,1592,2793,NA,NA,NA,NA,NA,NA,NA,NA
2009,Louisiana,5,Traumatic brain injury,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,Louisiana,5,Developmental delay,5455,65,36,2792,86,2476,5455,NA,NA,NA,NA,NA,NA,NA,NA
2009,Louisiana,5,All disabilities,75167,649,464,37049,1352,35653,75167,NA,NA,NA,NA,NA,NA,NA,NA
2009,Maine,5,Mental retardation,731,7,5,26,6,687,731,NA,NA,NA,NA,NA,NA,NA,NA
2009,Maine,5,Hearing impairments,213,NA,NA,8,7,193,213,NA,NA,NA,NA,NA,NA,NA,NA
2009,Maine,5,Speech or language impairments,5228,64,102,142,98,4822,5228,NA,NA,NA,NA,NA,NA,NA,NA
2009,Maine,5,Visual impairments,67,0,NA,NA,NA,63,67,NA,NA,NA,NA,NA,NA,NA,NA
2009,Maine,5,Emotional disturbance,2608,47,10,88,35,2428,2608,NA,NA,NA,NA,NA,NA,NA,NA
2009,Maine,5,Orthopedic impairments,49,0,0,NA,NA,45,49,NA,NA,NA,NA,NA,NA,NA,NA
2009,Maine,5,Other health impairments,5564,74,39,169,75,5207,5564,NA,NA,NA,NA,NA,NA,NA,NA
2009,Maine,5,Specific learning disabilities,9504,134,66,222,141,8941,9504,NA,NA,NA,NA,NA,NA,NA,NA
2009,Maine,5,Deaf-blindness,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,Maine,5,Multiple disabilities,2801,29,22,67,40,2643,2801,NA,NA,NA,NA,NA,NA,NA,NA
2009,Maine,5,Autism,2041,16,21,39,20,1945,2041,NA,NA,NA,NA,NA,NA,NA,NA
2009,Maine,5,Traumatic brain injury,74,NA,NA,NA,0,69,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,Maine,5,Developmental delay,NA,0,0,NA,NA,NA,39,NA,NA,NA,NA,NA,NA,NA,NA
2009,Maine,5,All disabilities,28923,375,270,769,427,27082,28923,NA,NA,NA,NA,NA,NA,NA,NA
2009,Maryland,5,Mental retardation,5405,18,154,3075,367,1791,5405,NA,NA,NA,NA,NA,NA,NA,NA
2009,Maryland,5,Hearing impairments,1046,NA,NA,314,85,565,1046,NA,NA,NA,NA,NA,NA,NA,NA
2009,Maryland,5,Speech or language impairments,15596,68,728,5451,1557,7792,15596,NA,NA,NA,NA,NA,NA,NA,NA
2009,Maryland,5,Visual impairments,342,0,NA,NA,29,155,342,NA,NA,NA,NA,NA,NA,NA,NA
2009,Maryland,5,Emotional disturbance,8037,45,58,4815,249,2870,8037,NA,NA,NA,NA,NA,NA,NA,NA
2009,Maryland,5,Orthopedic impairments,352,NA,NA,169,38,131,352,NA,NA,NA,NA,NA,NA,NA,NA
2009,Maryland,5,Other health impairments,15288,65,266,6870,847,7240,15288,NA,NA,NA,NA,NA,NA,NA,NA
2009,Maryland,5,Specific learning disabilities,32874,133,524,15592,3857,12768,32874,NA,NA,NA,NA,NA,NA,NA,NA
2009,Maryland,5,Deaf-blindness,20,0,0,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,Maryland,5,Multiple disabilities,2812,19,92,1105,147,1449,2812,NA,NA,NA,NA,NA,NA,NA,NA
2009,Maryland,5,Autism,7430,24,457,2528,378,4043,7430,NA,NA,NA,NA,NA,NA,NA,NA
2009,Maryland,5,Traumatic brain injury,279,NA,NA,135,NA,119,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,Maryland,5,Developmental delay,1005,6,25,557,139,278,1005,NA,NA,NA,NA,NA,NA,NA,NA
2009,Maryland,5,All disabilities,90486,381,2425,40749,7715,39216,90486,NA,NA,NA,NA,NA,NA,NA,NA
2009,Massachusetts,7,Mental retardation,10647,NA,NA,NA,NA,NA,NA,3358,55,253,1724,18,5048,191,10647
2009,Massachusetts,7,Hearing impairments,1063,NA,NA,NA,NA,NA,NA,194,NA,66,109,NA,673,14,1063
2009,Massachusetts,7,Speech or language impairments,24456,NA,NA,NA,NA,NA,NA,4754,79,1060,2252,14,15784,513,24456
2009,Massachusetts,7,Visual impairments,515,NA,NA,NA,NA,NA,NA,72,NA,26,52,0,354,NA,515
2009,Massachusetts,7,Emotional disturbance,13738,NA,NA,NA,NA,NA,NA,2768,60,172,1968,29,8353,388,13738
2009,Massachusetts,7,Orthopedic impairments,1334,NA,NA,NA,NA,NA,NA,175,NA,29,115,NA,971,35,1334
2009,Massachusetts,7,Other health impairments,12635,NA,NA,NA,NA,NA,NA,1496,40,126,812,12,9880,269,12635
2009,Massachusetts,7,Specific learning disabilities,55585,NA,NA,NA,NA,NA,NA,10282,200,950,6311,58,36697,1087,55585
2009,Massachusetts,7,Deaf-blindness,168,NA,NA,NA,NA,NA,NA,36,NA,9,21,0,100,NA,168
2009,Massachusetts,7,Multiple disabilities,4506,NA,NA,NA,NA,NA,NA,643,12,106,337,13,3318,77,4506
2009,Massachusetts,7,Autism,8759,NA,NA,NA,NA,NA,NA,712,13,339,581,25,6904,185,8759
2009,Massachusetts,7,Traumatic brain injury,6807,NA,NA,NA,NA,NA,NA,634,14,137,426,7,5458,131,6807
2009,Massachusetts,7,Developmental delay,10813,NA,NA,NA,NA,NA,NA,2044,19,314,985,18,7136,297,10813
2009,Massachusetts,7,All disabilities,151026,NA,NA,NA,NA,NA,NA,27168,503,3587,15693,201,100676,3198,151026
2009,Michigan,5,Mental retardation,21048,205,245,7344,862,12265,20921,NA,NA,NA,NA,NA,NA,NA,NA
2009,Michigan,5,Hearing impairments,2716,17,85,515,167,1914,2698,NA,NA,NA,NA,NA,NA,NA,NA
2009,Michigan,5,Speech or language impairments,42093,398,794,7100,2074,31461,41827,NA,NA,NA,NA,NA,NA,NA,NA
2009,Michigan,5,Visual impairments,760,5,24,142,35,551,757,NA,NA,NA,NA,NA,NA,NA,NA
2009,Michigan,5,Emotional disturbance,14964,168,92,3576,421,10580,14837,NA,NA,NA,NA,NA,NA,NA,NA
2009,Michigan,5,Orthopedic impairments,2588,16,48,685,111,1715,2575,NA,NA,NA,NA,NA,NA,NA,NA
2009,Michigan,5,Other health impairments,19055,233,163,2876,677,14995,18944,NA,NA,NA,NA,NA,NA,NA,NA
2009,Michigan,5,Specific learning disabilities,82273,978,598,20691,4585,54815,81667,NA,NA,NA,NA,NA,NA,NA,NA
2009,Michigan,5,Deaf-blindness,8,0,0,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,Michigan,5,Multiple disabilities,2988,24,63,657,140,2080,2964,NA,NA,NA,NA,NA,NA,NA,NA
2009,Michigan,5,Autism,12924,120,292,1818,448,10184,12862,NA,NA,NA,NA,NA,NA,NA,NA
2009,Michigan,5,Traumatic brain injury,610,6,9,NA,NA,423,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,Michigan,5,Developmental delay,1701,14,45,440,103,1075,1677,NA,NA,NA,NA,NA,NA,NA,NA
2009,Michigan,5,All disabilities,203728,2184,2458,45979,9658,142064,202343,NA,NA,NA,NA,NA,NA,NA,NA
2009,Minnesota,5,Mental retardation,8631,352,356,1349,539,6035,8631,NA,NA,NA,NA,NA,NA,NA,NA
2009,Minnesota,5,Hearing impairments,2010,34,220,192,168,1396,2010,NA,NA,NA,NA,NA,NA,NA,NA
2009,Minnesota,5,Speech or language impairments,16050,463,959,1283,1072,12273,16050,NA,NA,NA,NA,NA,NA,NA,NA
2009,Minnesota,5,Visual impairments,346,NA,27,NA,21,253,346,NA,NA,NA,NA,NA,NA,NA,NA
2009,Minnesota,5,Emotional disturbance,15905,1019,223,3608,784,10271,15905,NA,NA,NA,NA,NA,NA,NA,NA
2009,Minnesota,5,Orthopedic impairments,1503,35,80,120,89,1179,1503,NA,NA,NA,NA,NA,NA,NA,NA
2009,Minnesota,5,Other health impairments,15596,520,255,1756,709,12356,15596,NA,NA,NA,NA,NA,NA,NA,NA
2009,Minnesota,5,Specific learning disabilities,30626,1163,1502,4611,3393,19957,30626,NA,NA,NA,NA,NA,NA,NA,NA
2009,Minnesota,5,Deaf-blindness,60,NA,NA,NA,6,44,60,NA,NA,NA,NA,NA,NA,NA,NA
2009,Minnesota,5,Multiple disabilities,1059,26,50,126,80,777,1059,NA,NA,NA,NA,NA,NA,NA,NA
2009,Minnesota,5,Autism,12231,185,506,829,425,10286,12231,NA,NA,NA,NA,NA,NA,NA,NA
2009,Minnesota,5,Traumatic brain injury,430,NA,NA,50,24,316,430,NA,NA,NA,NA,NA,NA,NA,NA
2009,Minnesota,5,Developmental delay,2206,111,83,287,270,1455,2206,NA,NA,NA,NA,NA,NA,NA,NA
2009,Minnesota,5,All disabilities,106653,3934,4289,14252,7580,76598,106653,NA,NA,NA,NA,NA,NA,NA,NA
2009,Mississippi,5,Mental retardation,3996,6,16,2805,45,1124,3996,NA,NA,NA,NA,NA,NA,NA,NA
2009,Mississippi,5,Hearing impairments,630,NA,NA,325,16,284,630,NA,NA,NA,NA,NA,NA,NA,NA
2009,Mississippi,5,Speech or language impairments,16194,32,94,6023,234,9811,16194,NA,NA,NA,NA,NA,NA,NA,NA
2009,Mississippi,5,Visual impairments,299,NA,NA,152,7,138,299,NA,NA,NA,NA,NA,NA,NA,NA
2009,Mississippi,5,Emotional disturbance,1961,6,NA,1021,20,911,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,Mississippi,5,Orthopedic impairments,471,NA,NA,207,7,252,471,NA,NA,NA,NA,NA,NA,NA,NA
2009,Mississippi,5,Other health impairments,5939,18,17,3101,63,2740,5939,NA,NA,NA,NA,NA,NA,NA,NA
2009,Mississippi,5,Specific learning disabilities,19595,39,NA,11455,280,7786,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,Mississippi,5,Deaf-blindness,12,0,0,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,Mississippi,5,Multiple disabilities,813,NA,NA,417,14,375,813,NA,NA,NA,NA,NA,NA,NA,NA
2009,Mississippi,5,Autism,1814,7,25,717,32,1033,1814,NA,NA,NA,NA,NA,NA,NA,NA
2009,Mississippi,5,Traumatic brain injury,163,0,NA,NA,NA,81,163,NA,NA,NA,NA,NA,NA,NA,NA
2009,Mississippi,5,Developmental delay,2452,6,12,1320,47,1067,2452,NA,NA,NA,NA,NA,NA,NA,NA
2009,Mississippi,5,All disabilities,54339,119,217,27626,767,25610,54339,NA,NA,NA,NA,NA,NA,NA,NA
2009,Missouri,5,Mental retardation,10544,52,113,3206,302,6871,10544,NA,NA,NA,NA,NA,NA,NA,NA
2009,Missouri,5,Hearing impairments,1182,NA,NA,207,49,896,1182,NA,NA,NA,NA,NA,NA,NA,NA
2009,Missouri,5,Speech or language impairments,30522,140,479,4652,960,24291,30522,NA,NA,NA,NA,NA,NA,NA,NA
2009,Missouri,5,Visual impairments,486,NA,NA,NA,20,373,486,NA,NA,NA,NA,NA,NA,NA,NA
2009,Missouri,5,Emotional disturbance,7082,56,26,2207,128,4665,7082,NA,NA,NA,NA,NA,NA,NA,NA
2009,Missouri,5,Orthopedic impairments,545,NA,NA,88,21,422,545,NA,NA,NA,NA,NA,NA,NA,NA
2009,Missouri,5,Other health impairments,17857,101,103,3004,303,14346,17857,NA,NA,NA,NA,NA,NA,NA,NA
2009,Missouri,5,Specific learning disabilities,37216,246,273,8531,1203,26963,37216,NA,NA,NA,NA,NA,NA,NA,NA
2009,Missouri,5,Deaf-blindness,31,NA,0,NA,NA,27,31,NA,NA,NA,NA,NA,NA,NA,NA
2009,Missouri,5,Multiple disabilities,1458,6,23,358,38,1033,1458,NA,NA,NA,NA,NA,NA,NA,NA
2009,Missouri,5,Autism,6221,24,164,927,149,4957,6221,NA,NA,NA,NA,NA,NA,NA,NA
2009,Missouri,5,Traumatic brain injury,452,NA,NA,101,NA,334,452,NA,NA,NA,NA,NA,NA,NA,NA
2009,Missouri,5,Developmental delay,570,NA,NA,109,17,436,570,NA,NA,NA,NA,NA,NA,NA,NA
2009,Missouri,5,All disabilities,114166,636,1240,23474,3202,85614,114166,NA,NA,NA,NA,NA,NA,NA,NA
2009,Montana,5,Mental retardation,970,180,9,14,27,740,970,NA,NA,NA,NA,NA,NA,NA,NA
2009,Montana,5,Hearing impairments,141,11,NA,NA,NA,120,141,NA,NA,NA,NA,NA,NA,NA,NA
2009,Montana,5,Speech or language impairments,3450,559,61,33,88,2709,3450,NA,NA,NA,NA,NA,NA,NA,NA
2009,Montana,5,Visual impairments,NA,12,NA,0,NA,NA,52,NA,NA,NA,NA,NA,NA,NA,NA
2009,Montana,5,Emotional disturbance,916,119,NA,NA,33,739,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,Montana,5,Orthopedic impairments,62,7,0,NA,NA,52,62,NA,NA,NA,NA,NA,NA,NA,NA
2009,Montana,5,Other health impairments,1737,167,NA,NA,44,1485,1737,NA,NA,NA,NA,NA,NA,NA,NA
2009,Montana,5,Specific learning disabilities,7087,1216,50,85,239,5497,7087,NA,NA,NA,NA,NA,NA,NA,NA
2009,Montana,5,Deaf-blindness,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,Montana,5,Multiple disabilities,545,51,NA,NA,17,469,545,NA,NA,NA,NA,NA,NA,NA,NA
2009,Montana,5,Autism,473,33,NA,NA,10,415,473,NA,NA,NA,NA,NA,NA,NA,NA
2009,Montana,5,Traumatic brain injury,54,NA,0,NA,NA,46,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,Montana,5,Developmental delay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,Montana,5,All disabilities,15491,2362,151,199,467,12312,15491,NA,NA,NA,NA,NA,NA,NA,NA
2009,Nebraska,5,Mental retardation,4335,115,41,521,628,3030,4335,NA,NA,NA,NA,NA,NA,NA,NA
2009,Nebraska,5,Hearing impairments,594,12,16,47,94,425,594,NA,NA,NA,NA,NA,NA,NA,NA
2009,Nebraska,5,Speech or language impairments,9682,178,176,688,1259,7381,9682,NA,NA,NA,NA,NA,NA,NA,NA
2009,Nebraska,5,Visual impairments,190,NA,8,NA,17,153,190,NA,NA,NA,NA,NA,NA,NA,NA
2009,Nebraska,5,Emotional disturbance,2016,81,17,389,135,1394,2016,NA,NA,NA,NA,NA,NA,NA,NA
2009,Nebraska,5,Orthopedic impairments,288,6,7,18,21,236,288,NA,NA,NA,NA,NA,NA,NA,NA
2009,Nebraska,5,Other health impairments,5279,128,53,558,351,4189,5279,NA,NA,NA,NA,NA,NA,NA,NA
2009,Nebraska,5,Specific learning disabilities,13903,460,152,1466,2176,9649,13903,NA,NA,NA,NA,NA,NA,NA,NA
2009,Nebraska,5,Deaf-blindness,11,0,0,NA,0,NA,11,NA,NA,NA,NA,NA,NA,NA,NA
2009,Nebraska,5,Multiple disabilities,374,NA,NA,24,39,295,374,NA,NA,NA,NA,NA,NA,NA,NA
2009,Nebraska,5,Autism,1706,17,45,98,121,1425,1706,NA,NA,NA,NA,NA,NA,NA,NA
2009,Nebraska,5,Traumatic brain injury,191,NA,NA,13,21,NA,191,NA,NA,NA,NA,NA,NA,NA,NA
2009,Nebraska,5,Developmental delay,1189,58,16,57,172,886,1189,NA,NA,NA,NA,NA,NA,NA,NA
2009,Nebraska,5,All disabilities,39758,1074,539,3887,5034,29224,39758,NA,NA,NA,NA,NA,NA,NA,NA
2009,Nevada,5,Mental retardation,1881,40,124,314,699,704,1881,NA,NA,NA,NA,NA,NA,NA,NA
2009,Nevada,5,Hearing impairments,457,7,45,34,188,183,457,NA,NA,NA,NA,NA,NA,NA,NA
2009,Nevada,5,Speech or language impairments,6172,147,357,544,1807,3317,6172,NA,NA,NA,NA,NA,NA,NA,NA
2009,Nevada,5,Visual impairments,158,NA,NA,NA,NA,78,158,NA,NA,NA,NA,NA,NA,NA,NA
2009,Nevada,5,Emotional disturbance,1993,38,NA,454,291,1177,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,Nevada,5,Orthopedic impairments,292,NA,NA,35,87,154,292,NA,NA,NA,NA,NA,NA,NA,NA
2009,Nevada,5,Other health impairments,3221,66,75,491,573,2016,3221,NA,NA,NA,NA,NA,NA,NA,NA
2009,Nevada,5,Specific learning disabilities,23138,561,720,4179,8787,8891,23138,NA,NA,NA,NA,NA,NA,NA,NA
2009,Nevada,5,Deaf-blindness,12,0,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,Nevada,5,Multiple disabilities,1026,10,73,164,333,446,1026,NA,NA,NA,NA,NA,NA,NA,NA
2009,Nevada,5,Autism,2711,35,242,271,628,1535,2711,NA,NA,NA,NA,NA,NA,NA,NA
2009,Nevada,5,Traumatic brain injury,182,6,9,31,69,67,182,NA,NA,NA,NA,NA,NA,NA,NA
2009,Nevada,5,Developmental delay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,Nevada,5,All disabilities,41243,916,1697,6540,13515,18575,41243,NA,NA,NA,NA,NA,NA,NA,NA
2009,New Hampshire,5,Mental retardation,829,NA,11,34,39,742,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,New Hampshire,5,Hearing impairments,218,0,NA,NA,9,201,218,NA,NA,NA,NA,NA,NA,NA,NA
2009,New Hampshire,5,Speech or language impairments,3920,12,72,86,117,3633,3920,NA,NA,NA,NA,NA,NA,NA,NA
2009,New Hampshire,5,Visual impairments,98,0,NA,NA,NA,89,98,NA,NA,NA,NA,NA,NA,NA,NA
2009,New Hampshire,5,Emotional disturbance,2346,NA,NA,55,55,2219,2346,NA,NA,NA,NA,NA,NA,NA,NA
2009,New Hampshire,5,Orthopedic impairments,83,NA,NA,NA,0,79,83,NA,NA,NA,NA,NA,NA,NA,NA
2009,New Hampshire,5,Other health impairments,4932,9,27,108,123,4665,4932,NA,NA,NA,NA,NA,NA,NA,NA
2009,New Hampshire,5,Specific learning disabilities,11619,26,84,261,440,10808,11619,NA,NA,NA,NA,NA,NA,NA,NA
2009,New Hampshire,5,Deaf-blindness,5,0,0,0,0,5,5,NA,NA,NA,NA,NA,NA,NA,NA
2009,New Hampshire,5,Multiple disabilities,362,NA,NA,NA,NA,341,362,NA,NA,NA,NA,NA,NA,NA,NA
2009,New Hampshire,5,Autism,1386,5,24,15,22,1320,1386,NA,NA,NA,NA,NA,NA,NA,NA
2009,New Hampshire,5,Traumatic brain injury,52,0,NA,NA,NA,47,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,New Hampshire,5,Developmental delay,1270,NA,NA,48,46,1144,1270,NA,NA,NA,NA,NA,NA,NA,NA
2009,New Hampshire,5,All disabilities,27120,64,271,625,867,25293,27120,NA,NA,NA,NA,NA,NA,NA,NA
2009,New Jersey,7,Mental retardation,5337,NA,NA,NA,NA,NA,NA,1544,20,229,1860,NA,1665,NA,5337
2009,New Jersey,7,Hearing impairments,1449,NA,NA,NA,NA,NA,NA,343,NA,107,186,9,793,NA,1449
2009,New Jersey,7,Speech or language impairments,44356,NA,NA,NA,NA,NA,NA,8413,54,2676,5847,79,27080,207,44356
2009,New Jersey,7,Visual impairments,366,NA,NA,NA,NA,NA,NA,66,NA,30,NA,NA,211,NA,NA
2009,New Jersey,7,Emotional disturbance,9307,NA,NA,NA,NA,NA,NA,1602,18,139,3175,8,4317,48,9307
2009,New Jersey,7,Orthopedic impairments,486,NA,NA,NA,NA,NA,NA,72,NA,30,57,NA,322,NA,486
