year,state,disability,total_6to21,aian,api,black,hisp,white,total_ethnicity,tworace,el_yes,el_no
2017,California,MI,6019,32,640,470,3063,1553,6019,261,1589,4430
2017,California,OI,8765,53,775,518,4733,2439,8765,247,2609,6156
2017,California,OHI,91985,724,3647,10653,42741,30222,91985,3998,16784,75201
2017,California,SLD,296783,2438,10285,26575,194129,55030,296783,8326,106414,190369
2017,California,SLI,109096,716,9917,5542,59870,27913,109096,5138,31634,77462
2017,California,TBI,1526,23,79,159,821,391,1526,53,378,1148
2017,California,VI,2982,23,306,209,1496,838,2982,110,698,2284
2018,California,All disabilities,701812,5041,45264,57327,401596,163311,701812,29273,194026,507786
2018,California,Aut,97318,505,13910,6896,44527,26535,97318,4945,20116,77202
2018,California,DB,83,0,10,3,42,25,83,3,16,67
2018,California,DD,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
2018,California,ED,25118,273,887,3192,10442,8878,25118,1446,3044,22074
2018,California,HI,10453,37,1121,479,6364,2070,10453,382,2803,7650
2018,California,ID,40021,253,3294,3419,24593,7218,40021,1244,14053,25968
2018,California,MI,6192,28,662,461,3161,1573,6192,307,1496,4696
2018,California,OI,8278,48,747,481,4524,2212,8278,266,2324,5954
2018,California,OHI,98615,787,3870,10948,46940,31200,98615,4870,17496,81119
2018,California,SLD,299652,2370,10266,25599,197268,54388,299652,9761,100934,198718
2018,California,SLI,111679,696,10114,5488,61457,28054,111679,5870,30759,80920
2018,California,TBI,1465,21,81,157,789,362,1465,55,339,1126
2018,California,VI,2938,23,302,204,1489,796,2938,124,646,2292
2005,Colorado,ID,3417,48,59,413,1193,1704,3417,NA,NA,NA
2005,Colorado,HI,1308,19,45,70,409,765,1308,NA,NA,NA
2005,Colorado,SLI,15413,268,416,1074,4304,9351,15413,NA,NA,NA
2005,Colorado,VI,313,NA,NA,24,77,196,313,NA,NA,NA
2005,Colorado,ED,8483,165,77,1002,1616,5623,8483,NA,NA,NA
2005,Colorado,OI,8692,113,125,621,1588,6245,8692,NA,NA,NA
2005,Colorado,OHI,0,0,0,0,0,0,0,NA,NA,NA
2005,Colorado,SLD,30500,554,402,2476,9563,17505,30500,NA,NA,NA
2005,Colorado,DB,71,NA,NA,NA,23,41,71,NA,NA,NA
2005,Colorado,MI,3036,33,85,219,725,1974,3036,NA,NA,NA
2005,Colorado,Aut,1346,12,52,80,155,1047,1346,NA,NA,NA
2005,Colorado,TBI,379,NA,10,NA,94,244,379,NA,NA,NA
2005,Colorado,DD,0,0,0,0,0,0,0,NA,NA,NA
2005,Colorado,All disabilities,72958,1225,1285,6006,19747,44695,72958,NA,NA,NA
2006,Colorado,ID,3390,50,58,419,1224,1639,3390,NA,NA,NA
2006,Colorado,HI,1350,20,42,81,434,773,1350,NA,NA,NA
2006,Colorado,SLI,15285,266,393,1081,4472,9073,15285,NA,NA,NA
2006,Colorado,VI,308,NA,NA,23,83,184,308,NA,NA,NA
2006,Colorado,ED,8129,172,76,1010,1606,5265,8129,NA,NA,NA
2006,Colorado,OI,9088,132,123,670,1708,6455,9088,NA,NA,NA
2006,Colorado,OHI,0,0,0,0,0,0,0,NA,NA,NA
2006,Colorado,SLD,29996,569,350,2401,9878,16798,29996,NA,NA,NA
2006,Colorado,DB,33,0,NA,NA,10,18,33,NA,NA,NA
2006,Colorado,MI,3009,31,82,214,786,1896,3009,NA,NA,NA
2006,Colorado,Aut,1642,12,55,91,207,1277,1642,NA,NA,NA
2006,Colorado,TBI,390,NA,10,NA,96,251,390,NA,NA,NA
2006,Colorado,DD,0,0,0,0,0,0,0,NA,NA,NA
2006,Colorado,All disabilities,72620,1267,1205,6015,20504,43629,72620,NA,NA,NA
2007,Colorado,ID,3239,53,58,417,1176,1535,3239,NA,NA,NA
2007,Colorado,HI,1359,18,40,88,450,763,1359,NA,NA,NA
2007,Colorado,SLI,15067,254,413,1031,4562,8807,15067,NA,NA,NA
2007,Colorado,VI,325,NA,NA,NA,97,189,286,NA,NA,NA
2007,Colorado,ED,7776,160,67,980,1536,5033,7776,NA,NA,NA
2007,Colorado,OI,9277,136,141,661,1772,6567,9277,NA,NA,NA
2007,Colorado,OHI,0,0,0,0,0,0,0,NA,NA,NA
2007,Colorado,SLD,29795,563,383,2440,10214,16195,29795,NA,NA,NA
2007,Colorado,DB,27,0,NA,NA,9,15,24,NA,NA,NA
2007,Colorado,MI,3032,39,93,210,801,1889,3032,NA,NA,NA
2007,Colorado,Aut,1985,NA,NA,111,259,1544,1914,NA,NA,NA
2007,Colorado,TBI,393,11,9,24,97,252,393,NA,NA,NA
2007,Colorado,DD,0,0,0,0,0,0,0,NA,NA,NA
2007,Colorado,All disabilities,72275,1247,1280,5986,20973,42789,72275,NA,NA,NA
2008,Colorado,ID,3107,59,58,395,1127,1468,3107,NA,NA,NA
2008,Colorado,HI,1375,19,52,77,482,745,1375,NA,NA,NA
2008,Colorado,SLI,14842,243,435,1024,4626,8514,14842,NA,NA,NA
2008,Colorado,VI,323,NA,NA,24,91,193,323,NA,NA,NA
2008,Colorado,ED,7475,154,62,911,1522,4826,7475,NA,NA,NA
2008,Colorado,OI,9287,131,144,675,1802,6535,9287,NA,NA,NA
2008,Colorado,OHI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,Colorado,SLD,29991,534,399,2547,10430,16081,29991,NA,NA,NA
2008,Colorado,DB,27,NA,0,NA,8,17,27,NA,NA,NA
2008,Colorado,MI,3071,45,94,225,833,1874,3071,NA,NA,NA
2008,Colorado,Aut,2416,21,72,124,317,1882,2416,NA,NA,NA
2008,Colorado,TBI,408,10,NA,NA,110,258,408,NA,NA,NA
2008,Colorado,DD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,Colorado,All disabilities,72322,1220,1338,6023,21348,42393,72322,NA,NA,NA
2009,Colorado,ID,3033,63,64,383,1111,1412,3033,NA,NA,NA
2009,Colorado,HI,1354,13,52,76,506,707,1354,NA,NA,NA
2009,Colorado,SLI,14287,210,419,916,4654,8088,14287,NA,NA,NA
2009,Colorado,VI,320,NA,NA,24,81,196,320,NA,NA,NA
2009,Colorado,ED,7169,158,73,834,1460,4644,7169,NA,NA,NA
2009,Colorado,OI,9389,121,147,701,1823,6597,9389,NA,NA,NA
2009,Colorado,OHI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,Colorado,SLD,30430,515,416,2593,10833,16073,30430,NA,NA,NA
2009,Colorado,DB,22,NA,0,NA,6,14,22,NA,NA,NA
2009,Colorado,MI,3140,41,102,243,855,1899,3140,NA,NA,NA
2009,Colorado,Aut,2867,28,97,156,402,2184,2867,NA,NA,NA
2009,Colorado,TBI,427,8,NA,NA,124,261,427,NA,NA,NA
2009,Colorado,DD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,Colorado,All disabilities,72438,1160,1400,5948,21855,42075,72438,NA,NA,NA
2010,Colorado,ID,2949,NA,56,335,1147,1292,2949,70,NA,NA
2010,Colorado,HI,1351,13,51,59,541,656,1351,31,NA,NA
2010,Colorado,SLI,13774,179,347,691,4991,7198,13774,368,NA,NA
2010,Colorado,VI,322,0,14,22,NA,190,322,NA,NA,NA
2010,Colorado,ED,6815,105,64,716,1532,4162,6815,236,NA,NA
2010,Colorado,OI,9449,92,121,553,2104,6331,9449,248,NA,NA
2010,Colorado,OHI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,Colorado,SLD,31142,480,387,2310,11958,15327,31142,680,NA,NA
2010,Colorado,DB,25,0,0,NA,NA,15,25,0,NA,NA
2010,Colorado,MI,3199,NA,81,205,990,1825,3199,67,NA,NA
2010,Colorado,Aut,3420,34,99,172,587,2442,3420,86,NA,NA
2010,Colorado,TBI,467,NA,5,NA,139,275,467,NA,NA,NA
2010,Colorado,DD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,Colorado,All disabilities,72913,986,1232,5086,24085,39713,72913,1811,NA,NA
2011,Colorado,ID,2922,46,59,322,1122,1290,2922,83,NA,NA
2011,Colorado,HI,1304,NA,55,62,513,625,1304,38,NA,NA
2011,Colorado,SLI,13208,148,359,638,4694,6895,13208,474,NA,NA
2011,Colorado,VI,310,0,NA,NA,NA,173,310,NA,NA,NA
2011,Colorado,ED,6689,94,70,620,1537,4079,6689,289,NA,NA
2011,Colorado,OI,9640,90,127,563,2130,6373,9640,357,NA,NA
2011,Colorado,OHI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,Colorado,SLD,32981,479,404,2427,12974,15758,32981,939,NA,NA
2011,Colorado,DB,19,0,0,NA,NA,13,19,0,NA,NA
2011,Colorado,MI,3316,37,90,205,1071,1818,3316,95,NA,NA
2011,Colorado,Aut,4008,44,113,181,728,2805,4008,137,NA,NA
2011,Colorado,TBI,488,NA,0,27,143,285,488,NA,NA,NA
2011,Colorado,DD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,Colorado,All disabilities,74885,954,1300,5066,25006,40114,74885,2445,NA,NA
2012,Colorado,All disabilities,76481,919,1386,5057,26514,40428,76481,2177,11389,65092
2012,Colorado,Aut,4482,46,128,197,864,3101,4482,146,NA,NA
2012,Colorado,DB,19,0,1,3,6,9,19,0,NA,NA
2012,Colorado,DD,0,NA,NA,NA,NA,NA,0,NA,NA,NA
2012,Colorado,ED,6467,85,72,586,1594,3891,6467,239,NA,NA
2012,Colorado,HI,1281,10,65,59,523,584,1281,40,NA,NA
2012,Colorado,ID,2845,43,66,317,1109,1245,2845,65,NA,NA
2012,Colorado,MI,3407,35,84,210,1138,1835,3407,105,NA,NA
2012,Colorado,OI,9953,85,139,569,2312,6542,9953,306,NA,NA
2012,Colorado,OHI,18,1,1,1,2,11,18,2,NA,NA
2012,Colorado,SLD,34317,461,458,2495,14009,16043,34317,851,NA,NA
2012,Colorado,SLI,12872,140,346,576,4703,6712,12872,395,NA,NA
2012,Colorado,TBI,508,12,5,25,159,289,508,18,NA,NA
2012,Colorado,VI,312,1,21,19,95,166,312,10,NA,NA
2013,Colorado,All disabilities,78328,928,1419,5196,27986,40246,78328,2553,11583,66745
2013,Colorado,Aut,4837,37,145,212,1007,3255,4837,181,275,4562
2013,Colorado,DB,20,0,1,3,5,11,20,0,3,17
2013,Colorado,DD,361,10,8,22,132,180,361,9,46,315
2013,Colorado,ED,6139,92,68,584,1531,3580,6139,284,271,5868
2013,Colorado,HI,1279,8,72,58,525,573,1279,43,250,1029
2013,Colorado,ID,2818,44,61,290,1103,1235,2818,85,456,2362
2013,Colorado,MI,3524,37,99,245,1234,1802,3524,107,492,3032
2013,Colorado,OI,9228,72,128,537,2277,5905,9228,309,667,8561
2013,Colorado,OHI,1028,24,15,53,216,677,1028,43,57,971
2013,Colorado,SLD,35488,467,470,2588,14955,15983,35488,1025,6719,28769
2013,Colorado,SLI,12765,129,323,547,4735,6601,12765,430,2236,10529
2013,Colorado,TBI,523,7,6,36,173,278,523,23,70,453
2013,Colorado,VI,318,1,23,21,93,166,318,14,41,277
2014,Colorado,All disabilities,80229,963,1439,5079,29237,40705,80229,2806,13720,66509
2014,Colorado,Aut,5301,42,154,217,1137,3520,5301,231,360,4941
2014,Colorado,DB,24,0,1,2,9,12,24,0,3,21
2014,Colorado,DD,1236,22,23,65,455,624,1236,47,227,1009
2014,Colorado,ED,5802,92,62,493,1454,3406,5802,295,298,5504
2014,Colorado,HI,1274,16,66,58,527,563,1274,44,270,1004
2014,Colorado,ID,2623,39,59,245,1082,1112,2623,86,506,2117
2014,Colorado,MI,3751,39,104,274,1345,1870,3751,119,619,3132
2014,Colorado,OI,6634,47,100,404,1699,4149,6634,235,613,6021
2014,Colorado,OHI,3621,51,49,205,767,2399,3621,150,230,3391
2014,Colorado,SLD,36869,488,465,2577,15891,16339,36869,1109,8046,28823
2014,Colorado,SLI,12267,114,319,490,4618,6278,12267,448,2430,9837
2014,Colorado,TBI,512,9,11,30,168,271,512,23,73,439
2014,Colorado,VI,315,4,26,19,85,162,315,19,45,270
2015,Colorado,All disabilities,82327,946,1505,5040,30411,41337,82327,3088,14325,68002
2015,Colorado,Aut,5866,41,163,258,1328,3798,5866,278,447,5419
2015,Colorado,DB,27,0,1,2,11,13,27,0,3,24
2015,Colorado,DD,2463,34,63,115,1013,1148,2463,90,517,1946
2015,Colorado,ED,5624,69,67,447,1393,3352,5624,296,316,5308
2015,Colorado,HI,1292,11,72,61,517,581,1292,50,250,1042
2015,Colorado,ID,2552,44,60,235,1064,1063,2552,86,520,2032
2015,Colorado,MI,3880,34,104,263,1400,1930,3880,149,646,3234
2015,Colorado,OI,3195,23,50,198,860,1958,3195,106,337,2858
2015,Colorado,OHI,6952,69,96,405,1599,4493,6952,290,508,6444
2015,Colorado,SLD,38074,507,485,2578,16613,16648,38074,1243,8386,29688
2015,Colorado,SLI,11603,104,313,432,4355,5934,11603,465,2287,9316
2015,Colorado,TBI,504,7,7,30,168,270,504,22,73,431
2015,Colorado,VI,295,3,24,16,90,149,295,13,35,260
2016,Colorado,All disabilities,84546,920,1583,5014,31607,42062,84546,3360,14780,69766
2016,Colorado,Aut,6378,42,191,265,1498,4068,6378,314,524,5854
2016,Colorado,DB,27,0,1,2,9,15,27,0,2,25
2016,Colorado,DD,3336,37,73,173,1387,1515,3336,151,722,2614
2016,Colorado,ED,5535,74,62,437,1387,3314,5535,261,293,5242
2016,Colorado,HI,1224,6,75,64,477,562,1224,40,243,981
2016,Colorado,ID,2530,33,68,240,1095,1014,2530,80,551,1979
2016,Colorado,MI,4016,35,119,263,1424,2011,4016,164,668,3348
2016,Colorado,OI,355,3,11,14,105,209,355,13,58,297
2016,Colorado,OHI,9995,86,140,581,2492,6237,9995,459,759,9236
2016,Colorado,SLD,39234,495,511,2519,17333,16987,39234,1389,8754,30480
2016,Colorado,SLI,11144,99,301,412,4111,5760,11144,461,2088,9056
2016,Colorado,TBI,501,6,9,30,198,240,501,18,87,414
2016,Colorado,VI,271,4,22,14,91,130,271,10,31,240
2017,Colorado,All disabilities,87947,949,1632,5144,33165,43470,87947,3587,15436,72511
2017,Colorado,Aut,6968,60,217,302,1677,4357,6968,355,621,6347
2017,Colorado,DB,23,0,3,2,5,13,23,0,2,21
2017,Colorado,DD,3898,45,86,220,1628,1745,3898,174,841,3057
2017,Colorado,ED,5578,70,60,436,1448,3266,5578,298,321,5257
2017,Colorado,HI,1191,10,75,58,466,546,1191,36,230,961
2017,Colorado,ID,2582,28,66,249,1101,1045,2582,93,564,2018
2017,Colorado,MI,4124,37,123,263,1512,2024,4124,165,708,3416
2017,Colorado,OI,360,1,12,12,114,205,360,16,66,294
2017,Colorado,OHI,10895,98,166,620,2791,6710,10895,510,901,9994
2017,Colorado,SLD,40271,488,495,2501,18112,17253,40271,1422,9012,31259
2017,Colorado,SLI,11275,106,299,424,4033,5930,11275,483,2040,9235
2017,Colorado,TBI,498,5,8,37,187,241,498,20,97,401
2017,Colorado,VI,284,1,22,20,91,135,284,15,33,251
2018,Colorado,All disabilities,90715,975,1675,5142,34458,44582,90715,3883,15751,74964
2018,Colorado,Aut,7627,54,240,328,1920,4675,7627,410,723,6904
2018,Colorado,DB,26,0,3,1,8,13,26,1,3,23
2018,Colorado,DD,4365,52,97,251,1800,1970,4365,195,902,3463
2018,Colorado,ED,5596,67,42,391,1485,3286,5596,325,314,5282
2018,Colorado,HI,1192,10,78,57,478,532,1192,37,234,958
2018,Colorado,ID,2505,25,70,243,1092,990,2505,85,564,1941
2018,Colorado,MI,4227,44,134,269,1553,2043,4227,184,720,3507
2018,Colorado,OI,342,1,16,13,106,189,342,17,57,285
2018,Colorado,OHI,11534,111,157,648,3038,7011,11534,569,997,10537
2018,Colorado,SLD,41137,498,506,2456,18635,17561,41137,1481,9089,32048
2018,Colorado,SLI,11406,107,307,438,4068,5942,11406,544,2023,9383
2018,Colorado,TBI,479,5,5,29,190,230,479,20,91,388
2018,Colorado,VI,279,1,20,18,85,140,279,15,34,245
2005,Connecticut,ID,2962,9,54,681,649,1569,2962,NA,NA,NA
2005,Connecticut,HI,692,NA,NA,91,129,432,692,NA,NA,NA
2005,Connecticut,SLI,12714,40,272,1937,2136,8329,12714,NA,NA,NA
2005,Connecticut,VI,272,NA,NA,51,43,169,272,NA,NA,NA
2005,Connecticut,ED,6569,41,35,1562,1398,3533,6569,NA,NA,NA
2005,Connecticut,OI,123,0,NA,NA,22,84,123,NA,NA,NA
2005,Connecticut,OHI,10906,39,78,1337,1346,8106,10906,NA,NA,NA
2005,Connecticut,SLD,24537,96,204,4118,4819,15300,24537,NA,NA,NA
2005,Connecticut,DB,37,0,NA,NA,8,27,37,NA,NA,NA
2005,Connecticut,MI,2300,8,59,430,399,1404,2300,NA,NA,NA
2005,Connecticut,Aut,2853,6,96,351,242,2158,2853,NA,NA,NA
2005,Connecticut,TBI,122,0,NA,NA,19,82,122,NA,NA,NA
2005,Connecticut,DD,0,0,0,0,0,0,0,NA,NA,NA
2005,Connecticut,All disabilities,64087,247,847,10590,11210,41193,64087,NA,NA,NA
2006,Connecticut,ID,2782,10,53,602,613,1504,2782,NA,NA,NA
2006,Connecticut,HI,714,NA,NA,100,151,420,714,NA,NA,NA
2006,Connecticut,SLI,12319,49,318,1888,2370,7694,12319,NA,NA,NA
2006,Connecticut,VI,247,NA,NA,48,46,146,247,NA,NA,NA
2006,Connecticut,ED,5857,47,44,1255,1250,3261,5857,NA,NA,NA
2006,Connecticut,OI,374,NA,NA,26,40,300,374,NA,NA,NA
2006,Connecticut,OHI,11095,57,102,1436,1544,7956,11095,NA,NA,NA
2006,Connecticut,SLD,22960,106,209,3834,4754,14057,22960,NA,NA,NA
2006,Connecticut,DB,53,0,NA,NA,5,42,53,NA,NA,NA
2006,Connecticut,MI,2316,8,61,421,431,1395,2316,NA,NA,NA
2006,Connecticut,Aut,3361,12,126,443,296,2484,3361,NA,NA,NA
2006,Connecticut,TBI,114,0,NA,NA,24,72,114,NA,NA,NA
2006,Connecticut,DD,102,NA,NA,16,41,42,102,NA,NA,NA
2006,Connecticut,All disabilities,62294,295,975,10086,11565,39373,62294,NA,NA,NA
2007,Connecticut,ID,2647,8,58,558,592,1431,2647,NA,NA,NA
2007,Connecticut,HI,675,NA,NA,102,155,381,638,NA,NA,NA
2007,Connecticut,SLI,11933,47,324,1861,2392,7309,11933,NA,NA,NA
2007,Connecticut,VI,224,NA,NA,43,45,127,215,NA,NA,NA
2007,Connecticut,ED,5844,33,43,1319,1322,3127,5844,NA,NA,NA
2007,Connecticut,OI,120,NA,NA,NA,NA,80,80,NA,NA,NA
2007,Connecticut,OHI,11391,60,103,1541,1723,7964,11391,NA,NA,NA
2007,Connecticut,SLD,22179,113,201,3766,4747,13352,22179,NA,NA,NA
2007,Connecticut,DB,NA,0,NA,NA,NA,26,26,NA,NA,NA
2007,Connecticut,MI,2339,10,64,425,428,1412,2339,NA,NA,NA
2007,Connecticut,Aut,3800,14,139,490,368,2789,3800,NA,NA,NA
2007,Connecticut,TBI,117,0,6,15,23,73,117,NA,NA,NA
2007,Connecticut,DD,NA,NA,NA,NA,NA,20,20,NA,NA,NA
2007,Connecticut,All disabilities,61327,291,986,10137,11822,38091,61327,NA,NA,NA
2008,Connecticut,ID,2587,9,57,545,603,1373,2587,NA,NA,NA
2008,Connecticut,HI,669,NA,NA,97,164,367,669,NA,NA,NA
2008,Connecticut,SLI,11666,46,328,1815,2463,7014,11666,NA,NA,NA
2008,Connecticut,VI,196,NA,NA,41,38,111,196,NA,NA,NA
2008,Connecticut,ED,5577,35,43,1275,1298,2926,5577,NA,NA,NA
2008,Connecticut,OI,96,NA,NA,NA,18,66,96,NA,NA,NA
2008,Connecticut,OHI,11297,65,132,1592,1792,7716,11297,NA,NA,NA
2008,Connecticut,SLD,21867,109,214,3704,4795,13045,21867,NA,NA,NA
2008,Connecticut,DB,30,0,NA,NA,5,23,30,NA,NA,NA
2008,Connecticut,MI,2416,13,76,446,450,1431,2416,NA,NA,NA
2008,Connecticut,Aut,4424,15,169,547,459,3234,4424,NA,NA,NA
2008,Connecticut,TBI,117,0,5,20,22,70,117,NA,NA,NA
2008,Connecticut,DD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,Connecticut,All disabilities,60942,296,1070,10093,12107,37376,60942,NA,NA,NA
2009,Connecticut,ID,2525,11,62,507,627,1318,2525,NA,NA,NA
2009,Connecticut,HI,647,NA,NA,96,162,349,647,NA,NA,NA
2009,Connecticut,SLI,11123,44,348,1803,2441,6487,11123,NA,NA,NA
2009,Connecticut,VI,173,NA,NA,36,34,97,173,NA,NA,NA
2009,Connecticut,ED,5385,33,43,1241,1280,2788,5385,NA,NA,NA
2009,Connecticut,OI,83,NA,NA,7,16,57,NA,NA,NA,NA
2009,Connecticut,OHI,11452,75,138,1659,1954,7626,11452,NA,NA,NA
2009,Connecticut,SLD,21634,94,238,3677,4933,12692,21634,NA,NA,NA
2009,Connecticut,DB,27,0,NA,NA,5,19,NA,NA,NA,NA
2009,Connecticut,MI,2525,16,77,473,478,1481,2525,NA,NA,NA
2009,Connecticut,Aut,5028,21,205,620,570,3612,5028,NA,NA,NA
2009,Connecticut,TBI,117,0,NA,NA,22,71,NA,NA,NA,NA
2009,Connecticut,DD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,Connecticut,All disabilities,60719,298,1160,10142,12522,36597,60719,NA,NA,NA
2010,Connecticut,ID,2427,NA,54,483,580,1274,2427,NA,NA,NA
2010,Connecticut,HI,609,NA,40,92,154,315,609,NA,NA,NA
2010,Connecticut,SLI,10617,48,322,1718,2492,5895,10617,142,NA,NA
2010,Connecticut,VI,170,NA,0,31,30,104,170,0,NA,NA
2010,Connecticut,ED,5317,NA,40,1230,1264,2690,5317,60,NA,NA
2010,Connecticut,OI,79,0,0,NA,17,55,79,0,NA,NA
2010,Connecticut,OHI,11603,63,145,1678,2159,7419,11603,139,NA,NA
2010,Connecticut,SLD,21121,102,229,3529,5025,11998,21121,238,NA,NA
2010,Connecticut,DB,26,0,0,NA,NA,18,26,0,NA,NA
2010,Connecticut,MI,2604,NA,86,421,527,1522,2604,30,NA,NA
2010,Connecticut,Aut,5539,16,219,664,690,3884,5539,66,NA,NA
2010,Connecticut,TBI,122,0,0,24,NA,71,122,0,NA,NA
2010,Connecticut,DD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,Connecticut,All disabilities,60234,292,1150,9880,12965,35245,60234,702,NA,NA
2011,Connecticut,ID,2399,NA,57,476,605,1215,2399,NA,NA,NA
2011,Connecticut,HI,561,NA,39,81,147,287,561,NA,NA,NA
2011,Connecticut,SLI,9961,41,315,1578,2482,5394,9961,151,NA,NA
2011,Connecticut,VI,174,NA,0,33,40,96,174,0,NA,NA
2011,Connecticut,ED,5291,NA,42,1144,1313,2657,5291,108,NA,NA
2011,Connecticut,OI,71,0,0,NA,NA,51,71,0,NA,NA
2011,Connecticut,OHI,12007,NA,153,1726,2466,7408,12007,196,NA,NA
2011,Connecticut,SLD,21023,93,239,3553,5222,11590,21023,326,NA,NA
2011,Connecticut,DB,20,0,0,NA,NA,15,NA,0,NA,NA
2011,Connecticut,MI,2631,12,90,433,549,1503,2631,44,NA,NA
2011,Connecticut,Aut,6071,NA,243,723,824,4178,6071,82,NA,NA
2011,Connecticut,TBI,115,0,0,20,20,70,NA,0,NA,NA
2011,Connecticut,DD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,Connecticut,All disabilities,60324,260,1201,9774,13684,34464,60324,941,NA,NA
2012,Connecticut,All disabilities,61705,245,1291,9991,14624,34358,61705,1196,4905,56800
2012,Connecticut,Aut,6566,24,284,765,949,4435,6566,109,NA,NA
2012,Connecticut,DB,16,0,0,0,2,13,16,1,NA,NA
2012,Connecticut,DD,0,NA,NA,NA,NA,NA,0,NA,NA,NA
2012,Connecticut,ED,5230,24,48,1110,1273,2640,5230,135,NA,NA
2012,Connecticut,HI,541,0,37,77,159,264,541,4,NA,NA
2012,Connecticut,ID,2327,14,64,477,608,1131,2327,33,NA,NA
2012,Connecticut,MI,2712,14,95,458,565,1535,2712,45,NA,NA
2012,Connecticut,OI,69,0,2,7,13,46,69,1,NA,NA
2012,Connecticut,OHI,12783,58,181,1863,2801,7600,12783,280,NA,NA
2012,Connecticut,SLD,21644,87,259,3683,5679,11543,21644,393,NA,NA
2012,Connecticut,SLI,9539,22,314,1501,2516,4994,9539,192,NA,NA
2012,Connecticut,TBI,114,0,4,22,21,67,114,0,NA,NA
2012,Connecticut,VI,164,2,3,28,38,90,164,3,NA,NA
2013,Connecticut,All disabilities,62751,240,1344,10237,15464,34135,62751,1331,5176,57575
2013,Connecticut,Aut,6933,22,307,843,1094,4530,6933,137,194,6739
2013,Connecticut,DB,12,0,0,0,1,10,12,1,0,12
2013,Connecticut,DD,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
2013,Connecticut,ED,5221,22,50,1047,1312,2633,5221,157,213,5008
2013,Connecticut,HI,522,0,35,71,157,255,522,4,54,468
2013,Connecticut,ID,2311,10,56,479,640,1091,2311,35,297,2014
2013,Connecticut,MI,2770,15,107,498,609,1485,2770,56,132,2638
2013,Connecticut,OI,59,0,3,4,11,40,59,1,0,59
2013,Connecticut,OHI,13254,63,182,1959,3071,7668,13254,311,813,12441
2013,Connecticut,SLD,22243,79,268,3839,6019,11625,22243,413,2337,19906
2013,Connecticut,SLI,9159,27,328,1445,2489,4657,9159,213,1113,8046
2013,Connecticut,TBI,110,0,5,21,23,61,110,0,10,100
2013,Connecticut,VI,157,2,3,31,38,80,157,3,13,144
2014,Connecticut,All disabilities,64862,225,1380,10686,16739,34324,64862,1508,5865,58997
2014,Connecticut,Aut,7396,26,338,917,1267,4677,7396,171,261,7135
2014,Connecticut,DB,12,0,0,0,1,10,12,1,0,12
2014,Connecticut,DD,0,NA,NA,NA,NA,NA,0,NA,NA,NA
2014,Connecticut,ED,5391,22,54,1043,1425,2668,5391,179,235,5156
2014,Connecticut,HI,527,1,35,67,165,256,527,3,56,471
2014,Connecticut,ID,2359,8,56,497,685,1075,2359,38,310,2049
2014,Connecticut,MI,2791,7,109,505,622,1487,2791,61,146,2645
2014,Connecticut,OI,60,0,3,6,12,37,60,2,4,56
2014,Connecticut,OHI,13808,60,197,2097,3341,7768,13808,345,908,12900
2014,Connecticut,SLD,23381,74,284,4133,6603,11822,23381,465,2722,20659
2014,Connecticut,SLI,8880,26,297,1370,2557,4389,8880,241,1203,7677
2014,Connecticut,TBI,111,0,4,21,23,63,111,0,11,100
2014,Connecticut,VI,146,1,3,30,38,72,146,2,9,137
2015,Connecticut,All disabilities,66339,222,1457,10968,17919,34057,66339,1716,6166,60173
2015,Connecticut,Aut,7793,24,363,991,1423,4780,7793,212,304,7489
2015,Connecticut,DB,12,0,0,1,2,8,12,1,0,12
2015,Connecticut,DD,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
2015,Connecticut,ED,5395,23,59,1050,1474,2590,5395,199,229,5166
2015,Connecticut,HI,497,1,31,60,158,243,497,4,57,440
2015,Connecticut,ID,2388,7,68,502,716,1058,2388,37,339,2049
2015,Connecticut,MI,2825,9,113,527,655,1450,2825,71,166,2659
2015,Connecticut,OI,48,0,2,5,11,28,48,2,3,45
2015,Connecticut,OHI,14398,59,197,2236,3679,7817,14398,410,956,13442
2015,Connecticut,SLD,24241,69,311,4292,7153,11902,24241,514,2864,21377
2015,Connecticut,SLI,8489,29,306,1255,2586,4050,8489,263,1230,7259
2015,Connecticut,TBI,112,0,5,19,20,68,112,0,10,102
2015,Connecticut,VI,141,1,2,30,42,63,141,3,8,133
2016,Connecticut,All disabilities,68433,203,1530,11333,19404,34108,68433,1855,6644,61789
2016,Connecticut,Aut,8168,23,385,1063,1614,4843,8168,240,368,7800
